Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
KCNJ2	17q24.3	0.68	0.00	0.57	0.00	0.68	0.0119	0.361	(A) Immunomodulatory
PNRC1	6q15	0.71	0.03	0.27	0.06	0.68	1.409e-4	0.0354	(A) Immunomodulatory
NLGN4X	Xp22.32-p22.31	0.75	0.07	0.66	0.12	0.68	0.0231	0.414	(A) Immunomodulatory
TMSB15A	Xq22.1	0.87	0.19	0.86	0.33	0.68	0.0935	0.485	(A) Immunomodulatory
GBP4	1p22.2	1.16	0.48	0.57	0.45	0.67	0.101	0.493	(A) Immunomodulatory
ALDH1A2	15q21.3	0.81	0.14	0.53	0.14	0.67	9.961e-3	0.345	(A) Immunomodulatory
POU3F3	2q12.1	0.79	0.12	1.09	0.21	0.67	0.244	0.652	(A) Immunomodulatory
RGS16	1q25.3	0.86	0.19	0.46	0.33	0.67	0.0450	0.436	(A) Immunomodulatory
FAM72C	1q21.1	0.90	0.23	0.91	0.33	0.67	0.147	0.557	(A) Immunomodulatory
LHFPL1	Xq23	0.76	0.09	0.39	0.16	0.67	2.955e-3	0.199	(A) Immunomodulatory
OAS1	12q24.13	0.97	0.30	0.59	0.52	0.67	0.141	0.546	(A) Immunomodulatory
SDF2L1	22q11.21	0.67	0.00	0.56	0.00	0.66	0.0123	0.365	(A) Immunomodulatory
FASLG	1q24.3	1.37	0.71	0.60	0.69	0.66	0.232	0.641	(A) Immunomodulatory
ZNF683	1p36.11	1.13	0.47	0.60	0.77	0.66	0.273	0.678	(A) Immunomodulatory
SLAMF7	1q23.3	1.60	0.94	0.52	0.54	0.66	0.150	0.560	(A) Immunomodulatory
PGBD5	1q42.13	0.80	0.14	0.79	0.24	0.66	0.0647	0.461	(A) Immunomodulatory
SLC26A4-AS1	7q22.3	1.07	0.41	0.71	0.72	0.66	0.253	0.660	(A) Immunomodulatory
IFI16	1q23.1	0.81	0.16	0.53	0.18	0.65	0.0141	0.379	(A) Immunomodulatory
TNMD	Xq22.1	0.86	0.20	0.82	0.35	0.65	0.102	0.495	(A) Immunomodulatory
CST7	20p11.21	1.15	0.49	0.55	0.59	0.65	0.181	0.592	(A) Immunomodulatory
PDCD1	2q37.3	1.41	0.75	0.45	0.63	0.65	0.207	0.620	(A) Immunomodulatory
MOXD1	6q23.2	1.12	0.47	0.55	0.42	0.65	0.0902	0.485	(A) Immunomodulatory
IFI27	14q32.12	0.71	0.06	0.63	0.11	0.65	0.0224	0.414	(A) Immunomodulatory
IFNL1	19q13.2	0.66	0.01	0.74	0.02	0.65	0.0840	0.478	(A) Immunomodulatory
HAPSTR2	Xq27.1	0.69	0.05	0.90	0.06	0.65	0.243	0.652	(A) Immunomodulatory
CHAC2	2p16.2	0.66	0.01	0.44	0.02	0.65	4.311e-3	0.242	(A) Immunomodulatory
TNFSF13B	13q33.3	0.90	0.26	0.59	0.44	0.65	0.107	0.498	(A) Immunomodulatory
CIMAP1B	22q13.33	0.74	0.09	0.50	0.12	0.65	8.653e-3	0.327	(A) Immunomodulatory
ICAM4	19p13.2	1.17	0.53	0.71	0.70	0.64	0.252	0.660	(A) Immunomodulatory
HR	8p21.3	0.74	0.09	0.80	0.16	0.64	0.0627	0.454	(A) Immunomodulatory
PLEKHO1	1q21.2	0.70	0.06	0.39	0.10	0.64	2.130e-3	0.169	(A) Immunomodulatory
MYEOV	11q13.3	0.91	0.27	0.82	0.48	0.64	0.156	0.567	(A) Immunomodulatory
SSR4	Xq28	1.03	0.39	0.55	0.34	0.64	0.0601	0.453	(A) Immunomodulatory
TP63	3q28	1.17	0.54	0.66	0.85	0.64	0.326	0.723	(A) Immunomodulatory
ANKRD44-AS1	2q33.1	0.77	0.13	0.59	0.18	0.64	0.0238	0.415	(A) Immunomodulatory
CXCL9	4q21.1	1.66	1.02	0.47	0.27	0.63	0.0289	0.429	(A) Immunomodulatory
MEIG1	10p13	0.81	0.18	0.69	0.31	0.63	0.0983	0.491	(A) Immunomodulatory
PPIAL4G	1q21.2	0.81	0.18	0.56	0.25	0.63	0.0994	0.491	(A) Immunomodulatory
PROK2	3p13	0.81	0.17	0.53	0.30	0.63	0.0576	0.451	(A) Immunomodulatory
TDRKH	1q21.3	0.63	0.00	0.45	0.00	0.63	5.491e-3	0.274	(A) Immunomodulatory
CLU	8p21.1	0.91	0.28	0.82	0.48	0.63	0.164	0.575	(A) Immunomodulatory
IL1B	2q14.1	0.87	0.23	0.49	0.41	0.63	0.0908	0.485	(A) Immunomodulatory
UBE2L6	11q12.1	0.79	0.17	0.42	0.29	0.63	0.0327	0.429	(A) Immunomodulatory
WNT9B	17q21.32	0.65	0.03	0.45	0.04	0.63	5.131e-3	0.263	(A) Immunomodulatory
ASPHD2	22q12.1	0.82	0.19	0.60	0.30	0.63	0.0520	0.446	(A) Immunomodulatory
LY6H	8q24.3	0.70	0.08	0.54	0.13	0.63	0.0138	0.374	(A) Immunomodulatory
H4C3	6p22.2	0.66	0.04	0.54	0.06	0.63	0.0136	0.373	(A) Immunomodulatory
XAF1	17p13.2	0.85	0.22	0.60	0.39	0.63	0.0897	0.484	(A) Immunomodulatory
HYAL4	7q31.32	0.80	0.17	0.68	0.29	0.63	0.168	0.582	(A) Immunomodulatory
SH2D2A	1q23.1	0.99	0.36	0.49	0.34	0.63	0.0595	0.453	(A) Immunomodulatory
ARHGDIG	16p13.3	0.66	0.04	0.63	0.06	0.63	0.0391	0.429	(A) Immunomodulatory
LINC01842	19p13.12	0.67	0.05	0.82	0.07	0.63	0.0907	0.485	(A) Immunomodulatory
SRGN	10q22.1	0.98	0.35	0.50	0.53	0.63	0.163	0.574	(A) Immunomodulatory
SAA1	11p15.1	0.96	0.34	0.83	0.58	0.63	0.218	0.628	(A) Immunomodulatory
LINC01554	5q15	0.74	0.11	0.57	0.19	0.62	0.0236	0.414	(A) Immunomodulatory
RPS26	12q13.2	0.63	0.01	0.45	0.01	0.62	5.622e-3	0.275	(A) Immunomodulatory
CYBA	16q24.2	0.78	0.15	0.55	0.27	0.62	0.0370	0.429	(A) Immunomodulatory
LINC01635	1p36.12	0.63	0.01	0.64	0.01	0.62	0.401	0.766	(A) Immunomodulatory
JUNB	19p13.13	0.82	0.20	0.61	0.35	0.62	0.0738	0.472	(A) Immunomodulatory
EGR2	10q21.3	1.15	0.53	0.72	0.92	0.62	0.370	0.746	(A) Immunomodulatory
SEC11C	18q21.32	0.94	0.32	0.50	0.25	0.62	0.0270	0.426	(A) Immunomodulatory
FPR2	19q13.41	0.87	0.25	0.63	0.44	0.62	0.121	0.517	(A) Immunomodulatory
SLC38A3	3p21.31	0.75	0.13	0.74	0.22	0.62	0.0639	0.459	(A) Immunomodulatory
CCDC162P	6q21	0.62	0.00	0.88	0.00	0.62	0.501	0.819	(A) Immunomodulatory
PALM2AKAP2	9q31.3	0.71	0.09	0.25	0.16	0.62	2.520e-3	0.187	(A) Immunomodulatory
GBP2	1p22.2	0.99	0.37	0.27	0.38	0.62	0.0899	0.484	(A) Immunomodulatory
MZB1	5q31.2	1.82	1.20	0.82	0.56	0.62	0.212	0.622	(A) Immunomodulatory
PARP12	7q34	0.70	0.08	0.46	0.14	0.62	8.400e-3	0.325	(A) Immunomodulatory
MAGEA5P	Xq28	0.70	0.08	0.71	0.14	0.62	0.180	0.590	(A) Immunomodulatory
RN7SL832P	2p25.1	0.64	0.03	0.40	0.05	0.62	3.222e-3	0.208	(A) Immunomodulatory
GPR22	7q22.3	0.66	0.05	0.55	0.07	0.62	0.0253	0.425	(A) Immunomodulatory
IRF7	11p15.5	0.88	0.26	0.58	0.23	0.62	0.0333	0.429	(A) Immunomodulatory
IL20	1q32.1	0.90	0.29	0.85	0.50	0.61	0.246	0.655	(A) Immunomodulatory
SPIC	12q23.2	0.89	0.28	0.59	0.48	0.61	0.147	0.557	(A) Immunomodulatory
PSME2	14q12	0.90	0.29	0.36	0.26	0.61	0.0266	0.426	(A) Immunomodulatory
CD8B	2p11.2	1.15	0.54	0.82	0.93	0.61	0.385	0.756	(A) Immunomodulatory
H3C10	6p22.1	0.63	0.02	0.68	0.03	0.61	0.0391	0.429	(A) Immunomodulatory
SSTR3	22q13.1	1.50	0.89	0.69	0.85	0.61	0.344	0.734	(A) Immunomodulatory
THBS4	5q14.1	0.70	0.09	0.61	0.16	0.61	0.0305	0.429	(A) Immunomodulatory
BCL2A1	15q25.1	1.02	0.42	0.52	0.72	0.61	0.280	0.684	(A) Immunomodulatory
TESC	12q24.22	0.94	0.33	0.68	0.14	0.61	0.0426	0.431	(A) Immunomodulatory
PSMB10	16q22.1	0.91	0.30	0.37	0.31	0.61	0.0473	0.438	(A) Immunomodulatory
LYSMD2	15q21.2	0.71	0.10	0.38	0.18	0.61	7.192e-3	0.304	(A) Immunomodulatory
CD274	9p24.1	1.08	0.47	0.53	0.54	0.61	0.178	0.589	(A) Immunomodulatory
ZNF729	19p12	0.62	0.01	0.60	0.02	0.60	0.138	0.544	(A) Immunomodulatory
IGHV1OR15-3	15q11.2	1.08	0.47	0.78	0.78	0.60	0.325	0.722	(A) Immunomodulatory
LILRB4	19q13.42	0.81	0.21	0.62	0.36	0.60	0.0879	0.484	(A) Immunomodulatory
VGLL1	Xq26.3	0.70	0.10	1.05	0.17	0.60	0.155	0.566	(A) Immunomodulatory
DDX4	5q11.2	0.70	0.10	0.66	0.17	0.60	0.116	0.506	(A) Immunomodulatory
FOXN3-AS1	14q32.11	0.65	0.05	0.58	0.09	0.60	0.0222	0.414	(A) Immunomodulatory
NPY1R	4q32.2	0.62	0.03	0.76	0.04	0.60	0.0614	0.454	(A) Immunomodulatory
LILRB2	19q13.4	0.76	0.17	0.57	0.29	0.60	0.0535	0.446	(A) Immunomodulatory
RNASE10	14q11.2	0.87	0.27	1.01	0.39	0.60	0.357	0.738	(A) Immunomodulatory
TXNDC11	16p13.13	0.77	0.17	0.48	0.15	0.59	0.0118	0.360	(A) Immunomodulatory
NTRK2	9q21.33	0.81	0.22	0.70	0.38	0.59	0.114	0.505	(A) Immunomodulatory
A2M	12p13.31	0.64	0.05	0.71	0.08	0.59	0.0503	0.443	(A) Immunomodulatory
