Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
GPR199P	1p34.3	0.30	0.58	0.42	0.50	-0.28	0.451	0.796	(B) Luminal Androgen Receptor
BICRAL	6p21.1	0.28	0.56	0.29	0.56	-0.28	0.485	0.815	(B) Luminal Androgen Receptor
ADAMTS9	3p14.1	0.08	0.36	0.19	0.35	-0.28	0.300	0.702	(B) Luminal Androgen Receptor
SLC35A5	3q13.2	0.22	0.50	0.18	0.25	-0.28	0.182	0.592	(B) Luminal Androgen Receptor
ZNF8-ERVK3-1	19q13.43	0.15	0.43	0.29	0.39	-0.28	0.341	0.733	(B) Luminal Androgen Receptor
ZNF470	19q13.43	0.07	0.34	0.18	0.32	-0.28	0.268	0.674	(B) Luminal Androgen Receptor
APAF1	12q23.1	0.29	0.57	0.28	0.10	-0.28	0.0390	0.429	(B) Luminal Androgen Receptor
CCDC180	9q22.33	0.13	0.41	0.25	0.55	-0.28	0.472	0.809	(B) Luminal Androgen Receptor
SNX29	16p13.13-p13.12	0.19	0.47	0.31	0.42	-0.28	0.371	0.747	(B) Luminal Androgen Receptor
RASGRF2	5q14.1	0.22	0.50	0.37	0.48	-0.28	0.430	0.783	(B) Luminal Androgen Receptor
EIF4G2	11p15.4	0.11	0.39	0.19	0.36	-0.28	0.313	0.713	(B) Luminal Androgen Receptor
AP4B1-AS1	1p13.2	0.34	0.62	0.38	0.54	-0.28	0.478	0.811	(B) Luminal Androgen Receptor
EREG	4q13.3	0.17	0.45	0.36	0.77	-0.28	0.597	0.864	(B) Luminal Androgen Receptor
TPRG1-AS1	3q28	0.05	0.33	0.10	0.57	-0.28	0.488	0.816	(B) Luminal Androgen Receptor
FAM86C2P	11q13.2	0.12	0.40	0.17	0.68	-0.28	0.549	0.844	(B) Luminal Androgen Receptor
LINC00312	3p25.3	0.26	0.54	0.45	0.47	-0.28	0.433	0.785	(B) Luminal Androgen Receptor
HID1-AS1	17q25.1	0.47	0.75	0.56	0.66	-0.28	0.566	0.850	(B) Luminal Androgen Receptor
RAB14	9q33.2	0.14	0.42	0.20	0.51	-0.28	0.444	0.793	(B) Luminal Androgen Receptor
MIDEAS	14q24.3	0.17	0.45	0.20	0.39	-0.28	0.342	0.734	(B) Luminal Androgen Receptor
LINC01624	6q27	0.27	0.55	0.38	0.48	-0.28	0.434	0.785	(B) Luminal Androgen Receptor
ZNF75D	Xq26.3	0.19	0.47	0.21	0.40	-0.28	0.354	0.737	(B) Luminal Androgen Receptor
MMP25-AS1	16p13.3	0.31	0.59	0.38	0.51	-0.28	0.455	0.798	(B) Luminal Androgen Receptor
NDST1	5q33.1	0.03	0.31	0.08	0.29	-0.28	0.238	0.648	(B) Luminal Androgen Receptor
ATP6V0B	1p34.1	0.15	0.43	0.23	0.27	-0.28	0.209	0.620	(B) Luminal Androgen Receptor
LINC01208	3q26.32	0.53	0.81	0.96	1.40	-0.28	0.773	0.930	(B) Luminal Androgen Receptor
MIRLET7BHG	22q13.31	0.10	0.38	0.23	0.65	-0.28	0.538	0.838	(B) Luminal Androgen Receptor
CCR6	6q27	1.30	1.58	0.47	0.57	-0.28	0.502	0.819	(B) Luminal Androgen Receptor
NPIPA5	16p13.11	0.27	0.55	0.50	0.26	-0.28	0.259	0.665	(B) Luminal Androgen Receptor
PPP3CB-AS1	10q22.2	0.28	0.56	0.37	0.41	-0.28	0.372	0.748	(B) Luminal Androgen Receptor
MYO5A	15q21.2	0.20	0.48	0.27	0.44	-0.28	0.390	0.759	(B) Luminal Androgen Receptor
ZFP69	1p34.2	0.14	0.42	0.27	0.22	-0.28	0.140	0.544	(B) Luminal Androgen Receptor
ZNF503	10q22.2	0.19	0.47	0.37	0.82	-0.28	0.617	0.873	(B) Luminal Androgen Receptor
C1ORF116	1q32.1	0.05	0.33	0.12	0.57	-0.28	0.486	0.815	(B) Luminal Androgen Receptor
RASIP1	19q13.33	0.06	0.34	0.12	0.30	-0.28	0.239	0.648	(B) Luminal Androgen Receptor
ARMC3	10p12.2	0.41	0.69	0.59	1.19	-0.28	0.730	0.915	(B) Luminal Androgen Receptor
MOCS2	5q11.2	0.16	0.44	0.22	0.26	-0.28	0.188	0.598	(B) Luminal Androgen Receptor
GNA12	7p22.3-p22.2	0.09	0.37	0.19	0.65	-0.28	0.530	0.834	(B) Luminal Androgen Receptor
FMN1	15q13.3	0.16	0.44	0.23	0.72	-0.28	0.570	0.853	(B) Luminal Androgen Receptor
LILRA2	19q13.42	0.10	0.38	0.27	0.65	-0.28	0.537	0.838	(B) Luminal Androgen Receptor
TPM1	15q22.2	0.16	0.45	0.31	0.15	-0.28	0.0825	0.478	(B) Luminal Androgen Receptor
RGMB	5q15	0.15	0.43	0.38	0.37	-0.28	0.335	0.730	(B) Luminal Androgen Receptor
ARHGEF26	3q25.2	0.20	0.48	0.37	0.83	-0.28	0.620	0.874	(B) Luminal Androgen Receptor
ARHGAP44	17p12	0.27	0.55	0.50	0.52	-0.28	0.468	0.806	(B) Luminal Androgen Receptor
CDH13	16q23.3	0.15	0.43	0.33	0.53	-0.28	0.464	0.804	(B) Luminal Androgen Receptor
HLX-AS1	1q41	0.32	0.60	0.40	0.50	-0.28	0.471	0.808	(B) Luminal Androgen Receptor
NEDD4L	18q21.31	0.02	0.30	0.05	0.53	-0.28	0.452	0.797	(B) Luminal Androgen Receptor
LINC00910	17q21.31	0.18	0.47	0.35	0.16	-0.28	0.110	0.500	(B) Luminal Androgen Receptor
NSF	17q21.31	0.11	0.39	0.18	0.13	-0.28	0.0315	0.429	(B) Luminal Androgen Receptor
GASK1B	4q32.1	0.34	0.62	0.35	0.19	-0.28	0.131	0.530	(B) Luminal Androgen Receptor
ANOS1	Xp22.31	0.28	0.56	0.27	0.55	-0.28	0.470	0.807	(B) Luminal Androgen Receptor
LEKR1	3q25.31	0.11	0.39	0.21	0.67	-0.28	0.545	0.841	(B) Luminal Androgen Receptor
ANXA2P2	9p13.3	0.08	0.36	0.15	0.48	-0.28	0.415	0.777	(B) Luminal Androgen Receptor
INPP5E	9q34.3	0.06	0.34	0.13	0.59	-0.28	0.497	0.818	(B) Luminal Androgen Receptor
ULK3	15q24.1	0.05	0.33	0.11	0.38	-0.28	0.329	0.725	(B) Luminal Androgen Receptor
DNAJC3	13q32.1	0.16	0.44	0.19	0.40	-0.28	0.341	0.733	(B) Luminal Androgen Receptor
PPP1R13B-DT	14q32.33	0.29	0.58	0.54	0.23	-0.28	0.332	0.727	(B) Luminal Androgen Receptor
IHO1	3p21.31	0.34	0.62	0.52	0.58	-0.28	0.508	0.822	(B) Luminal Androgen Receptor
ALDH1L1-AS2	3q21.3	0.21	0.49	0.25	0.69	-0.28	0.667	0.893	(B) Luminal Androgen Receptor
GSN-AS1	9q33.2	0.08	0.36	0.22	0.43	-0.28	0.373	0.748	(B) Luminal Androgen Receptor
LINC00501	3q26.32	0.47	0.75	0.66	1.06	-0.28	0.785	0.934	(B) Luminal Androgen Receptor
QNG1	9q21.32	0.16	0.44	0.22	0.30	-0.28	0.241	0.650	(B) Luminal Androgen Receptor
FAM186A	12q13.12	0.17	0.45	0.20	0.41	-0.28	0.350	0.734	(B) Luminal Androgen Receptor
KCNE3	11q13.4	0.21	0.49	0.30	0.42	-0.28	0.371	0.747	(B) Luminal Androgen Receptor
GPD2	2q24.1	0.11	0.39	0.21	0.43	-0.28	0.377	0.750	(B) Luminal Androgen Receptor
PGAM2	7p13	0.27	0.55	0.45	0.62	-0.28	0.525	0.831	(B) Luminal Androgen Receptor
FAM106B	17p11.2	0.19	0.47	0.28	0.77	-0.28	0.592	0.863	(B) Luminal Androgen Receptor
JPH4	14q11.2	0.12	0.40	0.32	0.63	-0.28	0.521	0.829	(B) Luminal Androgen Receptor
NKTR	3p22.1	0.19	0.47	0.24	0.44	-0.28	0.382	0.754	(B) Luminal Androgen Receptor
LVRN	5q23.1	0.44	0.72	0.63	0.64	-0.28	0.557	0.847	(B) Luminal Androgen Receptor
ANKS1B	12q23.1	0.27	0.55	0.42	0.69	-0.28	0.558	0.847	(B) Luminal Androgen Receptor
TREML2	6p21.1	0.95	1.24	0.62	0.53	-0.28	0.488	0.816	(B) Luminal Androgen Receptor
CCNJL	5q33.3	0.16	0.45	0.27	0.77	-0.28	0.593	0.863	(B) Luminal Androgen Receptor
EHBP1L1	11q13.1	0.19	0.47	0.26	0.23	-0.28	0.156	0.567	(B) Luminal Androgen Receptor
SIGIRR	11p15.5	0.42	0.70	0.48	0.22	-0.28	0.215	0.626	(B) Luminal Androgen Receptor
SCRN3	2q31.1	0.15	0.43	0.30	0.20	-0.28	0.118	0.510	(B) Luminal Androgen Receptor
CALCRL	2q32.1	0.44	0.72	0.34	0.57	-0.28	0.489	0.816	(B) Luminal Androgen Receptor
CD1E	1q23.1	1.39	1.68	0.66	0.78	-0.28	0.614	0.871	(B) Luminal Androgen Receptor
FGF13	Xq26.3-q27.1	0.24	0.53	0.53	0.77	-0.28	0.599	0.865	(B) Luminal Androgen Receptor
ZNF252P	8q24.3	0.11	0.39	0.22	0.22	-0.28	0.135	0.537	(B) Luminal Androgen Receptor
LHX2	9q33.3	0.38	0.67	0.81	0.63	-0.28	0.566	0.850	(B) Luminal Androgen Receptor
EPHA10	1p34.3	0.51	0.80	0.73	0.55	-0.28	0.521	0.829	(B) Luminal Androgen Receptor
RAD1	5p13.2	0.12	0.40	0.25	0.70	-0.28	0.558	0.847	(B) Luminal Androgen Receptor
SELENOF	1p22.3	0.20	0.49	0.27	0.46	-0.28	0.400	0.766	(B) Luminal Androgen Receptor
CTC1	17p13.1	0.34	0.62	0.39	0.55	-0.28	0.478	0.811	(B) Luminal Androgen Receptor
APOBR	16p12.1	0.31	0.59	0.43	0.54	-0.28	0.472	0.809	(B) Luminal Androgen Receptor
ZNF525	19q13.42	0.10	0.39	0.16	0.11	-0.28	0.0182	0.398	(B) Luminal Androgen Receptor
LINC01128	1p36.33	0.08	0.37	0.15	0.39	-0.28	0.336	0.731	(B) Luminal Androgen Receptor
TCL1B	14q32.13	0.15	0.44	0.22	0.26	-0.28	0.193	0.603	(B) Luminal Androgen Receptor
PCSK9	1p32.3	0.57	0.86	0.75	0.83	-0.28	0.637	0.882	(B) Luminal Androgen Receptor
MID1IP1-AS1	Xp11.4	0.04	0.32	0.08	0.56	-0.28	0.472	0.809	(B) Luminal Androgen Receptor
PCDHA6	5q31.3	0.40	0.69	0.33	0.90	-0.28	0.644	0.884	(B) Luminal Androgen Receptor
PMS2P5	7q11.23	0.08	0.37	0.18	0.26	-0.28	0.189	0.600	(B) Luminal Androgen Receptor
TSTD2	9q22.33	0.02	0.30	0.05	0.06	-0.28	5.497e-3	0.274	(B) Luminal Androgen Receptor
APC	5q22.2	0.12	0.41	0.18	0.35	-0.28	0.293	0.695	(B) Luminal Androgen Receptor
PKD1L1	7p12.3	0.11	0.39	0.27	0.52	-0.28	0.444	0.793	(B) Luminal Androgen Receptor
TASP1	20p12.1	0.10	0.38	0.25	0.25	-0.28	0.177	0.589	(B) Luminal Androgen Receptor
C16ORF89	16p13.3	0.53	0.81	0.67	0.56	-0.29	0.512	0.824	(B) Luminal Androgen Receptor
RAB2B	14q11.2	0.11	0.40	0.14	0.09	-0.29	6.243e-3	0.284	(B) Luminal Androgen Receptor
AOX1	2q33.1	0.60	0.88	0.64	0.51	-0.29	0.479	0.811	(B) Luminal Androgen Receptor
SGMS1	10q11.23	0.23	0.52	0.42	0.43	-0.29	0.383	0.755	(B) Luminal Androgen Receptor
LRIG2	1p13.2	0.07	0.36	0.13	0.34	-0.29	0.281	0.684	(B) Luminal Androgen Receptor
SPDYE1	7p13	0.19	0.48	0.27	0.43	-0.29	0.368	0.745	(B) Luminal Androgen Receptor
QRSL1	6q21	0.31	0.59	0.39	0.56	-0.29	0.481	0.813	(B) Luminal Androgen Receptor
LINC01800	2p14	0.32	0.61	0.23	0.53	-0.29	0.448	0.794	(B) Luminal Androgen Receptor
IREB2	15q25.1	0.06	0.35	0.12	0.33	-0.29	0.268	0.674	(B) Luminal Androgen Receptor
FLJ44635	Xq13.1	0.13	0.41	0.20	0.58	-0.29	0.612	0.871	(B) Luminal Androgen Receptor
ALDH1A3	15q26.3	0.31	0.60	0.34	0.61	-0.29	0.508	0.822	(B) Luminal Androgen Receptor
EFCAB14	1p33	0.02	0.31	0.06	0.44	-0.29	0.376	0.749	(B) Luminal Androgen Receptor
CEBPE	14q11.2	0.45	0.74	0.53	0.74	-0.29	0.682	0.898	(B) Luminal Androgen Receptor
PCF11	11q14.1	0.12	0.40	0.20	0.28	-0.29	0.203	0.615	(B) Luminal Androgen Receptor
GPHA2	11q13.1	0.15	0.43	0.29	0.75	-0.29	0.584	0.858	(B) Luminal Androgen Receptor
LINC00664	19p12	0.37	0.66	0.83	0.64	-0.29	0.572	0.854	(B) Luminal Androgen Receptor
USP4	3p21.31	0.15	0.43	0.15	0.41	-0.29	0.345	0.734	(B) Luminal Androgen Receptor
SEPTIN4	17q22	0.10	0.38	0.23	0.51	-0.29	0.436	0.787	(B) Luminal Androgen Receptor
ZFP14	19q13.12	0.25	0.54	0.31	0.24	-0.29	0.169	0.584	(B) Luminal Androgen Receptor
STK40	1p34.3	0.08	0.36	0.19	0.38	-0.29	0.324	0.722	(B) Luminal Androgen Receptor
PNPLA2	11p15.5	0.20	0.49	0.33	0.36	-0.29	0.305	0.706	(B) Luminal Androgen Receptor
PDCL3P4	3q12.3	0.29	0.58	0.30	0.65	-0.29	0.531	0.834	(B) Luminal Androgen Receptor
ELF2	4q31.1	0.21	0.49	0.26	0.02	-0.29	0.0177	0.397	(B) Luminal Androgen Receptor
SPESP1	15q23	0.47	0.76	0.87	0.66	-0.29	0.582	0.858	(B) Luminal Androgen Receptor
CCDC13-AS2	3p22.1	0.32	0.61	0.56	0.56	-0.29	0.565	0.850	(B) Luminal Androgen Receptor
CD207	2p13.3	0.21	0.49	0.42	0.59	-0.29	0.499	0.818	(B) Luminal Androgen Receptor
ZNF772	19q13.43	0.17	0.45	0.25	0.32	-0.29	0.254	0.661	(B) Luminal Androgen Receptor
SNX25	4q35.1	0.26	0.54	0.26	0.48	-0.29	0.414	0.776	(B) Luminal Androgen Receptor
TJP1	15q13.1	0.04	0.33	0.08	0.29	-0.29	0.221	0.631	(B) Luminal Androgen Receptor
YTHDF3	8q12.3	0.01	0.29	0.02	0.17	-0.29	0.0999	0.492	(B) Luminal Androgen Receptor
ZDHHC23	3q13.31	0.08	0.37	0.15	0.51	-0.29	0.433	0.785	(B) Luminal Androgen Receptor
ABCA9	17q24.2	0.52	0.80	0.67	0.83	-0.29	0.628	0.878	(B) Luminal Androgen Receptor
ZNF354A	5q35.3	0.17	0.46	0.27	0.19	-0.29	0.105	0.497	(B) Luminal Androgen Receptor
CACNA1F	Xp11.23	0.29	0.58	0.43	0.52	-0.29	0.457	0.799	(B) Luminal Androgen Receptor
UHMK1	1q23.3	0.12	0.41	0.18	0.44	-0.29	0.375	0.748	(B) Luminal Androgen Receptor
VILL	3p22.2	0.33	0.62	0.43	0.58	-0.29	0.493	0.818	(B) Luminal Androgen Receptor
ZRANB2-AS1	1p31.1	0.19	0.48	0.22	0.19	-0.29	0.0989	0.491	(B) Luminal Androgen Receptor
ACAD11	3q22.1	0.16	0.45	0.30	0.39	-0.29	0.331	0.727	(B) Luminal Androgen Receptor
WDR24	16p13.3	0.05	0.33	0.13	0.35	-0.29	0.292	0.694	(B) Luminal Androgen Receptor
FCF1P2	3p21.31	0.15	0.44	0.22	0.39	-0.29	0.324	0.722	(B) Luminal Androgen Receptor
TKTL1	Xq28	0.35	0.64	0.29	0.90	-0.29	0.730	0.915	(B) Luminal Androgen Receptor
RHOBTB2	8p21.3	0.14	0.43	0.25	0.44	-0.29	0.378	0.750	(B) Luminal Androgen Receptor
UCP2	11q13.4	0.37	0.66	0.43	0.27	-0.29	0.234	0.643	(B) Luminal Androgen Receptor
UTS2B	3q28	0.59	0.88	0.62	1.28	-0.29	0.740	0.918	(B) Luminal Androgen Receptor
HMCN2	9q34.11	0.65	0.94	0.85	0.69	-0.29	0.591	0.862	(B) Luminal Androgen Receptor
VPS39	15q15.1	0.13	0.42	0.18	0.39	-0.29	0.326	0.723	(B) Luminal Androgen Receptor
TTLL11	9q33.2	0.04	0.33	0.07	0.56	-0.29	0.470	0.807	(B) Luminal Androgen Receptor
PRKCZ	1p36.33	0.13	0.42	0.17	0.73	-0.29	0.564	0.850	(B) Luminal Androgen Receptor
LINC00938	12q12	0.29	0.57	0.23	0.34	-0.29	0.280	0.684	(B) Luminal Androgen Receptor
PIERCE2	15q21.3	0.33	0.62	0.47	0.54	-0.29	0.471	0.808	(B) Luminal Androgen Receptor
SPDYE5	7q11.23	0.13	0.42	0.27	0.43	-0.29	0.370	0.746	(B) Luminal Androgen Receptor
ARRDC4	15q26.2	0.07	0.36	0.13	0.31	-0.29	0.247	0.656	(B) Luminal Androgen Receptor
SETD1B	12q24.31	0.11	0.40	0.22	0.35	-0.29	0.285	0.689	(B) Luminal Androgen Receptor
PGGHG	11p15.5	0.50	0.79	0.67	0.72	-0.29	0.582	0.858	(B) Luminal Androgen Receptor
TMEM192	4q32.3	0.23	0.52	0.28	0.54	-0.29	0.457	0.800	(B) Luminal Androgen Receptor
MMP17	12q24.33	0.29	0.58	0.44	0.54	-0.29	0.464	0.804	(B) Luminal Androgen Receptor
RNF123	3p21.31	0.11	0.40	0.23	0.35	-0.29	0.282	0.685	(B) Luminal Androgen Receptor
DCHS1	11p15.4	0.04	0.33	0.09	0.58	-0.29	0.476	0.811	(B) Luminal Androgen Receptor
TBC1D19	4p15.2	0.22	0.51	0.26	0.29	-0.29	0.221	0.631	(B) Luminal Androgen Receptor
AMY2B	1p21.1	0.23	0.52	0.35	0.52	-0.29	0.448	0.794	(B) Luminal Androgen Receptor
LRATD2	8q24.21	0.09	0.37	0.21	0.37	-0.29	0.301	0.702	(B) Luminal Androgen Receptor
SLC38A2	12q13.11	0.18	0.47	0.26	0.43	-0.29	0.363	0.742	(B) Luminal Androgen Receptor
DAAM2-AS1	6p21.2	0.41	0.70	0.45	0.01	-0.29	0.379	0.751	(B) Luminal Androgen Receptor
INTU	4q28.1	0.12	0.41	0.30	0.40	-0.29	0.339	0.733	(B) Luminal Androgen Receptor
LEISA1	11p15.1	0.14	0.43	0.26	0.44	-0.29	0.379	0.750	(B) Luminal Androgen Receptor
CFAP157	9q34.11	0.10	0.39	0.19	0.67	-0.29	0.534	0.836	(B) Luminal Androgen Receptor
MN1	22q12.1	0.33	0.62	0.54	1.04	-0.29	0.683	0.898	(B) Luminal Androgen Receptor
EOLA1-DT	Xq28	0.07	0.36	0.17	0.34	-0.29	0.278	0.683	(B) Luminal Androgen Receptor
CEP120	5q23.2	0.34	0.63	0.35	0.55	-0.29	0.465	0.804	(B) Luminal Androgen Receptor
SPAG17	1p12	0.14	0.43	0.40	0.49	-0.29	0.421	0.778	(B) Luminal Androgen Receptor
ASCC3	6q16.3	0.35	0.64	0.33	0.61	-0.29	0.501	0.818	(B) Luminal Androgen Receptor
GRAMD4	22q13.31	0.06	0.35	0.12	0.31	-0.29	0.239	0.648	(B) Luminal Androgen Receptor
FCGR2C	1q23.3	0.30	0.59	0.44	0.52	-0.29	0.453	0.797	(B) Luminal Androgen Receptor
LINC01429	20q13.2	0.12	0.41	0.31	0.70	-0.29	0.554	0.846	(B) Luminal Androgen Receptor
CCT6A	7p11.2	0.41	0.70	0.80	1.21	-0.29	0.729	0.915	(B) Luminal Androgen Receptor
LURAP1L	9p23	0.30	0.59	0.38	0.36	-0.29	0.305	0.705	(B) Luminal Androgen Receptor
TP53BP1	15q15.3	0.11	0.40	0.16	0.38	-0.29	0.310	0.710	(B) Luminal Androgen Receptor
GPX8	5q11.2	0.23	0.52	0.30	0.48	-0.29	0.407	0.772	(B) Luminal Androgen Receptor
LINC00674	17q24.2	0.09	0.38	0.19	0.35	-0.29	0.286	0.689	(B) Luminal Androgen Receptor
ZNF281	1q32.1	0.09	0.38	0.17	0.35	-0.29	0.279	0.683	(B) Luminal Androgen Receptor
AP1G1	16q22.2	0.06	0.35	0.11	0.18	-0.29	0.0921	0.485	(B) Luminal Androgen Receptor
SIGLEC10-AS1	19q13.41	0.35	0.64	0.57	0.69	-0.29	0.560	0.848	(B) Luminal Androgen Receptor
ZNF721	4p16.3	0.28	0.58	0.46	0.29	-0.29	0.257	0.664	(B) Luminal Androgen Receptor
RASGRP4	19q13.2	0.21	0.50	0.35	0.46	-0.29	0.399	0.765	(B) Luminal Androgen Receptor
PLK5	19p13.3	0.17	0.46	0.30	0.65	-0.29	0.642	0.883	(B) Luminal Androgen Receptor
OR1B1	9q33.2	0.16	0.45	0.36	0.60	-0.29	0.617	0.873	(B) Luminal Androgen Receptor
KIF16B	20p12.1	0.09	0.39	0.16	0.67	-0.29	0.530	0.834	(B) Luminal Androgen Receptor
RAB3GAP1	2q21.3	0.06	0.35	0.09	0.33	-0.29	0.268	0.674	(B) Luminal Androgen Receptor
TUBGCP6	22q13.33	0.14	0.44	0.22	0.46	-0.29	0.391	0.759	(B) Luminal Androgen Receptor
ZNF480	19q13.41	0.24	0.53	0.34	0.30	-0.29	0.238	0.646	(B) Luminal Androgen Receptor
SLC13A3	20q13.12	0.27	0.56	0.52	0.97	-0.29	0.662	0.891	(B) Luminal Androgen Receptor
A1BG-AS1	19q13.43	0.32	0.61	0.36	0.56	-0.29	0.473	0.809	(B) Luminal Androgen Receptor
FAM161B	14q24.3	0.17	0.46	0.29	0.04	-0.29	0.0238	0.415	(B) Luminal Androgen Receptor
SSTR1	14q21.1	0.35	0.64	0.49	0.57	-0.29	0.489	0.816	(B) Luminal Androgen Receptor
THAP7-AS1	22q11.21	0.33	0.62	0.47	0.36	-0.29	0.326	0.723	(B) Luminal Androgen Receptor
PGR	11q22.1	0.71	1.00	0.59	0.81	-0.29	0.610	0.870	(B) Luminal Androgen Receptor
TLK1	2q31.1	0.14	0.43	0.16	0.38	-0.29	0.309	0.709	(B) Luminal Androgen Receptor
LINC01788	1p31.1	0.10	0.39	0.13	0.67	-0.29	0.532	0.835	(B) Luminal Androgen Receptor
CAPN2	1q41	0.10	0.39	0.20	0.36	-0.29	0.292	0.695	(B) Luminal Androgen Receptor
MTM1	Xq28	0.32	0.61	0.42	0.31	-0.29	0.260	0.667	(B) Luminal Androgen Receptor
ADIPOQ-AS1	3q27.3	0.38	0.68	0.53	0.88	-0.29	0.639	0.883	(B) Luminal Androgen Receptor
AMT	3p21.31	0.27	0.56	0.34	0.62	-0.29	0.504	0.820	(B) Luminal Androgen Receptor
PSD4	2q14.1	0.31	0.61	0.35	0.53	-0.29	0.449	0.795	(B) Luminal Androgen Receptor
APOC4-APOC2	19q13.32	0.37	0.66	0.52	0.93	-0.29	0.736	0.916	(B) Luminal Androgen Receptor
ATP4A	19q13.12	0.18	0.47	0.31	0.06	-0.29	0.237	0.646	(B) Luminal Androgen Receptor
TRIM31	6p22.1	0.44	0.73	0.56	0.85	-0.29	0.625	0.877	(B) Luminal Androgen Receptor
MRPL36	5p15.33	0.13	0.42	0.33	0.73	-0.29	0.565	0.850	(B) Luminal Androgen Receptor
SMAD5-AS1	5q31.1	0.19	0.48	0.31	0.45	-0.29	0.380	0.751	(B) Luminal Androgen Receptor
PGBD4	15q14	0.20	0.49	0.32	0.51	-0.29	0.429	0.782	(B) Luminal Androgen Receptor
C22ORF39	22q11.21	0.13	0.43	0.18	0.22	-0.29	0.128	0.525	(B) Luminal Androgen Receptor
SMAD5	5q31.1	0.08	0.38	0.13	0.15	-0.29	0.0497	0.442	(B) Luminal Androgen Receptor
CTAGE1	18q11.2	0.06	0.35	0.13	0.28	-0.29	0.199	0.611	(B) Luminal Androgen Receptor
TXK	4p12	0.80	1.10	0.51	0.82	-0.29	0.611	0.870	(B) Luminal Androgen Receptor
C14ORF39	14q23.1	0.52	0.81	0.66	0.31	-0.29	0.393	0.761	(B) Luminal Androgen Receptor
CHKB	22q13.33	0.21	0.50	0.25	0.18	-0.29	0.0808	0.478	(B) Luminal Androgen Receptor
SRXN1	20p13	0.05	0.34	0.09	0.59	-0.29	0.479	0.812	(B) Luminal Androgen Receptor
DEPTOR	8q24.12	0.50	0.79	0.35	0.45	-0.29	0.383	0.755	(B) Luminal Androgen Receptor
LINC00174	7q11.21	0.09	0.38	0.17	0.25	-0.29	0.169	0.583	(B) Luminal Androgen Receptor
PLK2	5q11.2	0.01	0.30	0.02	0.29	-0.29	0.225	0.633	(B) Luminal Androgen Receptor
AASS	7q31.32	0.19	0.48	0.32	0.48	-0.29	0.404	0.769	(B) Luminal Androgen Receptor
AMDHD1	12q23.1	0.48	0.77	0.54	0.73	-0.29	0.572	0.854	(B) Luminal Androgen Receptor
ANGPTL6	19p13.2	0.45	0.74	0.29	0.68	-0.29	0.539	0.838	(B) Luminal Androgen Receptor
OTUD3	1p36.13	0.07	0.36	0.15	0.37	-0.29	0.304	0.705	(B) Luminal Androgen Receptor
PRAM1	19p13.2	0.39	0.68	0.45	0.59	-0.29	0.494	0.818	(B) Luminal Androgen Receptor
COL7A1	3p21.31	0.17	0.47	0.28	0.81	-0.29	0.598	0.864	(B) Luminal Androgen Receptor
COQ4	9q34.11	0.11	0.41	0.19	0.60	-0.29	0.485	0.815	(B) Luminal Androgen Receptor
GPR75	2p16.2	0.07	0.36	0.19	0.63	-0.29	0.503	0.820	(B) Luminal Androgen Receptor
RIN2	20p11.23	0.11	0.40	0.14	0.60	-0.29	0.487	0.816	(B) Luminal Androgen Receptor
SPECC1	17p11.2	0.17	0.46	0.28	0.52	-0.29	0.438	0.788	(B) Luminal Androgen Receptor
DNAJB13	11q13.4	0.31	0.61	0.49	0.56	-0.29	0.484	0.814	(B) Luminal Androgen Receptor
UCKL1-AS1	20q13.33	0.10	0.40	0.15	0.36	-0.29	0.287	0.690	(B) Luminal Androgen Receptor
PER2	2q37.3	0.15	0.45	0.22	0.48	-0.29	0.400	0.766	(B) Luminal Androgen Receptor
SH2B1	16p11.2	0.04	0.33	0.08	0.32	-0.29	0.248	0.656	(B) Luminal Androgen Receptor
CELSR1	22q13.31	0.03	0.32	0.08	0.33	-0.29	0.256	0.663	(B) Luminal Androgen Receptor
WDPCP	2p15	0.02	0.32	0.04	0.29	-0.29	0.224	0.633	(B) Luminal Androgen Receptor
CNIH1	14q22.2	0.19	0.49	0.30	0.30	-0.29	0.223	0.632	(B) Luminal Androgen Receptor
RAET1E-AS1	6q25.1	0.35	0.65	0.44	0.03	-0.29	0.164	0.575	(B) Luminal Androgen Receptor
BCDIN3D	12q13.12	0.16	0.46	0.18	0.30	-0.29	0.226	0.634	(B) Luminal Androgen Receptor
NBPF1	1p36.13	0.14	0.44	0.33	0.43	-0.29	0.365	0.743	(B) Luminal Androgen Receptor
RAPGEF3	12q13.11	0.28	0.57	0.36	0.57	-0.29	0.473	0.809	(B) Luminal Androgen Receptor
ENC1	5q13.3	0.05	0.35	0.10	0.33	-0.29	0.263	0.670	(B) Luminal Androgen Receptor
ZNF484	9q22.31	0.25	0.54	0.28	0.47	-0.29	0.395	0.762	(B) Luminal Androgen Receptor
ZNF134	19q13.43	0.07	0.36	0.18	0.09	-0.29	6.780e-3	0.296	(B) Luminal Androgen Receptor
LINC00685	Xp22.33 and Yp11.32	0.35	0.64	0.38	0.35	-0.30	0.288	0.691	(B) Luminal Androgen Receptor
HIVEP2	6q24.2	0.17	0.47	0.26	0.22	-0.30	0.133	0.533	(B) Luminal Androgen Receptor
DNAH12	3p14.3	0.37	0.66	0.63	0.75	-0.30	0.583	0.858	(B) Luminal Androgen Receptor
