Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
LMF2	22q13.33	0.16	0.33	0.26	0.43	-0.17	0.338	0.795	(B) Mesenchymal
AP4S1	14q12	0.03	0.20	0.07	0.32	-0.17	0.156	0.712	(B) Mesenchymal
PLEKHH3	17q21.2	0.18	0.35	0.27	0.46	-0.17	0.370	0.804	(B) Mesenchymal
PSMD12	17q24.2	0.21	0.38	0.23	0.50	-0.17	0.382	0.808	(B) Mesenchymal
ABL1	9q34.12	0.03	0.20	0.08	0.27	-0.17	0.0962	0.692	(B) Mesenchymal
CUL7	6p21.1	0.12	0.29	0.22	0.46	-0.17	0.342	0.797	(B) Mesenchymal
MSTO2P	1q22	0.35	0.52	0.42	0.49	-0.17	0.464	0.839	(B) Mesenchymal
FHL5	6q16.1	0.31	0.48	0.53	0.48	-0.17	0.514	0.860	(B) Mesenchymal
USE1	19p13.11	0.11	0.28	0.18	0.35	-0.17	0.226	0.737	(B) Mesenchymal
MIR4435-2HG	2q13	0.01	0.18	0.03	0.21	-0.17	0.0384	0.692	(B) Mesenchymal
ZNF8	19q13.43	0.20	0.38	0.41	0.38	-0.17	0.405	0.819	(B) Mesenchymal
APOM	6p21.33	0.16	0.34	0.34	0.37	-0.17	0.355	0.799	(B) Mesenchymal
NET1	10p15.1	0.22	0.39	0.49	0.39	-0.17	0.464	0.839	(B) Mesenchymal
ZBTB40	1p36.12	0.07	0.25	0.19	0.34	-0.17	0.219	0.734	(B) Mesenchymal
PKD1	16p13.3	0.18	0.36	0.44	0.48	-0.17	0.471	0.842	(B) Mesenchymal
RBM4	11q13.2	0.08	0.25	0.20	0.22	-0.17	0.123	0.697	(B) Mesenchymal
HAP1	17q21.2	0.38	0.55	0.51	0.67	-0.17	0.568	0.880	(B) Mesenchymal
SPRED1	15q14	0.03	0.20	0.05	0.27	-0.17	0.0916	0.692	(B) Mesenchymal
GLB1	3p22.3	0.11	0.28	0.16	0.46	-0.17	0.317	0.784	(B) Mesenchymal
ITPR1	3p26.1	0.15	0.32	0.40	0.42	-0.17	0.418	0.822	(B) Mesenchymal
ARMC5	16p11.2	0.02	0.19	0.04	0.33	-0.17	0.159	0.712	(B) Mesenchymal
MSANTD4	11q22.3	0.11	0.28	0.29	0.32	-0.17	0.284	0.765	(B) Mesenchymal
COPS9	2q37.3	0.17	0.34	0.26	0.39	-0.17	0.312	0.781	(B) Mesenchymal
SLC39A6	18q12.2	0.18	0.35	0.19	0.42	-0.17	0.291	0.768	(B) Mesenchymal
ZNF100	19p13.1	0.10	0.27	0.26	0.34	-0.17	0.274	0.758	(B) Mesenchymal
CAP2	6p22.3	0.25	0.42	0.38	0.38	-0.17	0.384	0.810	(B) Mesenchymal
TEPSIN	17q25.3	0.10	0.28	0.28	0.42	-0.17	0.341	0.797	(B) Mesenchymal
MRTFA	22q13.1-q13.2	0.07	0.24	0.11	0.47	-0.17	0.309	0.779	(B) Mesenchymal
RNMT	18p11.21	0.35	0.52	0.34	0.41	-0.17	0.374	0.806	(B) Mesenchymal
SLC35B2	6p21.1	0.40	0.57	0.54	0.54	-0.17	0.537	0.870	(B) Mesenchymal
BCAP29	7q22.3	0.11	0.28	0.22	0.34	-0.17	0.239	0.744	(B) Mesenchymal
NT5DC3	12q23.3	0.45	0.62	0.56	0.55	-0.17	0.548	0.874	(B) Mesenchymal
GDPD1	17q22	0.06	0.24	0.17	0.34	-0.17	0.203	0.721	(B) Mesenchymal
TSC2	16p13.3	0.08	0.25	0.15	0.35	-0.17	0.203	0.721	(B) Mesenchymal
HYAL2	3p21.31	0.15	0.32	0.20	0.38	-0.17	0.260	0.755	(B) Mesenchymal
ZNF268	12q24.33	0.18	0.36	0.23	0.35	-0.17	0.259	0.755	(B) Mesenchymal
WDR26	1q42.11-q42.12	0.19	0.37	0.22	0.34	-0.17	0.237	0.743	(B) Mesenchymal
SLC26A1	4p16.3	0.21	0.38	0.36	0.54	-0.17	0.455	0.835	(B) Mesenchymal
MZF1	19q13.43	0.13	0.30	0.34	0.44	-0.17	0.390	0.812	(B) Mesenchymal
RAD9B	12q24.11	0.17	0.34	0.20	0.30	-0.17	0.189	0.716	(B) Mesenchymal
HARBI1	11p11.2	0.18	0.35	0.34	0.38	-0.17	0.350	0.797	(B) Mesenchymal
MED14OS	Xp11.4	0.12	0.29	0.31	0.44	-0.17	0.369	0.803	(B) Mesenchymal
CPSF1	8q24.3	0.34	0.52	0.45	0.45	-0.17	0.456	0.835	(B) Mesenchymal
CYB561D1	1p13.3	0.04	0.21	0.07	0.28	-0.17	0.104	0.692	(B) Mesenchymal
MFF-DT	2q36.3	0.13	0.30	0.25	0.37	-0.17	0.286	0.766	(B) Mesenchymal
LINC01948	5q11.2	0.16	0.33	0.27	0.47	-0.17	0.694	0.922	(B) Mesenchymal
COL3A1	2q32.2	0.01	0.18	0.01	0.28	-0.17	0.105	0.692	(B) Mesenchymal
HAND2	4q34.1	0.33	0.50	0.50	0.81	-0.17	0.606	0.891	(B) Mesenchymal
CNR1	6q15	0.07	0.24	0.17	0.64	-0.17	0.457	0.836	(B) Mesenchymal
POU6F1	12q13.13	0.14	0.31	0.19	0.45	-0.17	0.321	0.785	(B) Mesenchymal
KLHL20	1q25.1	0.01	0.19	0.04	0.24	-0.17	0.0671	0.692	(B) Mesenchymal
TOM1L2	17p11.2	0.13	0.30	0.34	0.40	-0.17	0.365	0.803	(B) Mesenchymal
COL6A6	3q22.1	0.33	0.50	0.62	0.66	-0.17	0.597	0.888	(B) Mesenchymal
NOTCH2	1p12	0.17	0.34	0.30	0.61	-0.17	0.470	0.842	(B) Mesenchymal
SAMD11	1p36.33	0.11	0.28	0.29	0.70	-0.17	0.514	0.860	(B) Mesenchymal
ATP5F1E	20q13.32	0.16	0.33	0.22	0.30	-0.17	0.202	0.721	(B) Mesenchymal
ANK2	4q25-q26	0.04	0.22	0.10	0.36	-0.17	0.196	0.719	(B) Mesenchymal
ZC3H8	2q14.1	0.45	0.62	0.39	0.55	-0.17	0.469	0.841	(B) Mesenchymal
MADD	11p11.2	0.01	0.18	0.02	0.30	-0.17	0.119	0.697	(B) Mesenchymal
ARL6IP4	12q24.31	0.19	0.36	0.27	0.41	-0.17	0.328	0.790	(B) Mesenchymal
CLEC16A	16p13.13	0.08	0.25	0.12	0.38	-0.17	0.226	0.738	(B) Mesenchymal
PRKCE	2p21	0.22	0.40	0.47	0.36	-0.17	0.435	0.829	(B) Mesenchymal
MAK16	8p12	0.27	0.44	0.55	0.55	-0.17	0.540	0.871	(B) Mesenchymal
NYAP2	2q36.3	0.08	0.25	0.19	0.39	-0.17	0.360	0.801	(B) Mesenchymal
CCDC24	1p34.1	0.05	0.23	0.14	0.33	-0.17	0.179	0.714	(B) Mesenchymal
MIR205HG	1q32.2	0.21	0.38	0.38	0.42	-0.17	0.401	0.818	(B) Mesenchymal
URB1	21q22.11	0.15	0.33	0.20	0.38	-0.17	0.259	0.755	(B) Mesenchymal
SMAD7	18q21.1	0.19	0.36	0.28	0.38	-0.17	0.308	0.779	(B) Mesenchymal
PROZ	13q34	0.18	0.36	0.18	0.51	-0.17	0.359	0.801	(B) Mesenchymal
MAP1S	19p13.12	0.12	0.29	0.22	0.46	-0.17	0.338	0.795	(B) Mesenchymal
PIK3C2B	1q32.1	0.12	0.29	0.27	0.48	-0.17	0.376	0.806	(B) Mesenchymal
KDM4B	19p13.3	0.14	0.31	0.22	0.40	-0.17	0.281	0.763	(B) Mesenchymal
ZIM2	19q13.43	0.96	1.13	1.09	0.85	-0.17	0.757	0.940	(B) Mesenchymal
EDA2R	Xq12	0.09	0.26	0.23	0.46	-0.17	0.341	0.797	(B) Mesenchymal
CROT	7q21.12	0.03	0.20	0.05	0.36	-0.17	0.189	0.716	(B) Mesenchymal
GFOD2	16q22.1	0.13	0.30	0.25	0.32	-0.17	0.240	0.745	(B) Mesenchymal
CIMAP3	1p13.2	0.42	0.60	0.52	0.64	-0.17	0.557	0.877	(B) Mesenchymal
ACO1	9p21.1	0.07	0.25	0.12	0.32	-0.17	0.162	0.714	(B) Mesenchymal
WASH2P	2q14.1	0.09	0.27	0.25	0.31	-0.17	0.233	0.741	(B) Mesenchymal
NPHP3	3q22.1	0.03	0.21	0.08	0.37	-0.17	0.199	0.720	(B) Mesenchymal
ASAH1-AS1	8p22	0.22	0.40	0.32	0.43	-0.17	0.371	0.805	(B) Mesenchymal
DEGS1	1q42.11	0.41	0.58	0.41	0.66	-0.17	0.527	0.865	(B) Mesenchymal
CHST13	3q21.3	0.08	0.25	0.21	0.39	-0.17	0.274	0.758	(B) Mesenchymal
PPP1R16A	8q24.3	0.51	0.69	0.39	0.43	-0.17	0.411	0.821	(B) Mesenchymal
AJAP1	1p36.32	0.14	0.31	0.36	0.57	-0.17	0.466	0.840	(B) Mesenchymal
TPST1	7q11.21	0.14	0.31	0.19	0.35	-0.17	0.217	0.733	(B) Mesenchymal
PRKAR1A	17q24.2	0.05	0.22	0.06	0.37	-0.17	0.199	0.720	(B) Mesenchymal
LINC02913	9q34.11	0.25	0.42	0.61	0.75	-0.18	0.651	0.908	(B) Mesenchymal
WTAPP1	11q22.2	0.14	0.32	0.17	0.61	-0.18	0.491	0.852	(B) Mesenchymal
TAS2R14	12p13.2	0.33	0.51	0.33	0.68	-0.18	0.513	0.860	(B) Mesenchymal
FGF5	4q21.21	0.21	0.39	0.34	0.49	-0.18	0.564	0.878	(B) Mesenchymal
DOCK4-AS1	7q31.1	0.13	0.30	0.22	0.45	-0.18	0.354	0.799	(B) Mesenchymal
PNKD	2q35	0.16	0.34	0.24	0.36	-0.18	0.262	0.756	(B) Mesenchymal
ATP5ME	4p16.3	0.31	0.49	0.36	0.45	-0.18	0.400	0.817	(B) Mesenchymal
FRG1	4q35.2	0.10	0.28	0.18	0.37	-0.18	0.232	0.741	(B) Mesenchymal
NPIPB4	16p12.2	0.26	0.43	0.46	0.44	-0.18	0.452	0.835	(B) Mesenchymal
DDX4	5q11.2	0.22	0.40	0.38	0.46	-0.18	0.478	0.846	(B) Mesenchymal
IPO9-AS1	1q32.1	0.18	0.36	0.32	0.35	-0.18	0.318	0.784	(B) Mesenchymal
COMMD10	5q23.1	0.11	0.29	0.20	0.44	-0.18	0.306	0.777	(B) Mesenchymal
DMWD	19q13.32	0.21	0.38	0.37	0.39	-0.18	0.375	0.806	(B) Mesenchymal
DRC11	2q37.2-q37.3	0.32	0.50	0.50	0.68	-0.18	0.563	0.878	(B) Mesenchymal
FADS1	11q12.2	0.21	0.38	0.39	0.35	-0.18	0.366	0.803	(B) Mesenchymal
MAGIX	Xp11.23	0.30	0.48	0.35	0.51	-0.18	0.431	0.827	(B) Mesenchymal
ZDHHC8	22q11.21	0.37	0.55	0.50	0.61	-0.18	0.536	0.869	(B) Mesenchymal
GRIK1	21q21.3	0.19	0.37	0.30	0.76	-0.18	0.540	0.870	(B) Mesenchymal
H4C9	6p22.1	0.47	0.64	0.70	0.48	-0.18	0.640	0.904	(B) Mesenchymal
VPS39	15q15.1	0.01	0.18	0.02	0.29	-0.18	0.103	0.692	(B) Mesenchymal
TMEM150A	2p11.2	0.07	0.25	0.13	0.35	-0.18	0.194	0.719	(B) Mesenchymal
SLC25A41	19p13.3	0.50	0.68	0.84	0.76	-0.18	0.690	0.921	(B) Mesenchymal
XRCC5	2q35	0.14	0.32	0.22	0.37	-0.18	0.253	0.752	(B) Mesenchymal
RARG	12q13.13	0.20	0.38	0.24	0.45	-0.18	0.337	0.794	(B) Mesenchymal
TSPAN14	10q23.1	0.20	0.38	0.25	0.53	-0.18	0.396	0.816	(B) Mesenchymal
IFT172	2p23.3	0.10	0.28	0.18	0.32	-0.18	0.185	0.714	(B) Mesenchymal
NLRX1	11q23.3	0.07	0.25	0.13	0.31	-0.18	0.152	0.710	(B) Mesenchymal
EPB41L5	2q14.2	0.29	0.47	0.38	0.39	-0.18	0.384	0.810	(B) Mesenchymal
RTTN	18q22.2	0.17	0.34	0.30	0.44	-0.18	0.360	0.801	(B) Mesenchymal
PCDHA7	5q31.3	0.56	0.74	0.86	0.80	-0.18	0.683	0.919	(B) Mesenchymal
ZNF620	3p22.1	0.02	0.20	0.04	0.33	-0.18	0.153	0.710	(B) Mesenchymal
TBC1D17	19q13.33	0.14	0.32	0.38	0.32	-0.18	0.347	0.797	(B) Mesenchymal
CRELD1	3p25.3	0.11	0.28	0.26	0.48	-0.18	0.367	0.803	(B) Mesenchymal
NASP	1p34.1	0.14	0.31	0.24	0.41	-0.18	0.304	0.776	(B) Mesenchymal
C1QTNF1	17q25.3	0.09	0.26	0.21	0.54	-0.18	0.390	0.812	(B) Mesenchymal
SLC22A10	11q12.3	0.27	0.44	0.46	0.46	-0.18	0.612	0.893	(B) Mesenchymal
SACS-AS1	13q12.12	0.14	0.32	0.24	0.42	-0.18	0.454	0.835	(B) Mesenchymal
ACAD8	11q25	0.19	0.37	0.36	0.43	-0.18	0.389	0.812	(B) Mesenchymal
LINC00989	4q21.21	0.25	0.43	0.31	0.55	-0.18	0.462	0.838	(B) Mesenchymal
ATP5MG	11q23.3	0.14	0.32	0.18	0.41	-0.18	0.267	0.757	(B) Mesenchymal
ARIH2	3p21.31	0.14	0.31	0.20	0.30	-0.18	0.179	0.714	(B) Mesenchymal
MID2	Xq22.3	0.01	0.19	0.03	0.24	-0.18	0.0601	0.692	(B) Mesenchymal
SVBP	1p34.2	0.11	0.29	0.17	0.43	-0.18	0.282	0.763	(B) Mesenchymal
SEC16A	9q34.3	0.07	0.25	0.19	0.40	-0.18	0.268	0.757	(B) Mesenchymal
MYT1L	2p25.3	0.47	0.65	0.79	0.53	-0.18	0.717	0.928	(B) Mesenchymal
CRAMP1	16p13.3	0.15	0.33	0.36	0.44	-0.18	0.390	0.812	(B) Mesenchymal
DLGAP1-AS2	18p11.31	0.17	0.34	0.18	0.46	-0.18	0.311	0.781	(B) Mesenchymal
MEIS3P1	17p12	0.09	0.27	0.25	0.34	-0.18	0.253	0.751	(B) Mesenchymal
SIK3	11q23.3	0.14	0.31	0.25	0.45	-0.18	0.335	0.794	(B) Mesenchymal
MBD5	2q23.1	0.05	0.23	0.13	0.34	-0.18	0.178	0.714	(B) Mesenchymal
KANSL1L	2q34	0.23	0.41	0.26	0.37	-0.18	0.280	0.762	(B) Mesenchymal
DLGAP4	20q11.23	0.09	0.27	0.11	0.54	-0.18	0.365	0.803	(B) Mesenchymal
BCL9	1q21.2	0.25	0.43	0.30	0.51	-0.18	0.402	0.818	(B) Mesenchymal
SNHG11	20q11.23	0.20	0.38	0.29	0.28	-0.18	0.240	0.744	(B) Mesenchymal
POLR3A	10q22.3	0.19	0.36	0.29	0.51	-0.18	0.396	0.816	(B) Mesenchymal
SLC49A4	3q21.1	0.14	0.32	0.18	0.47	-0.18	0.321	0.785	(B) Mesenchymal
ZCCHC14	16q24.2	0.23	0.40	0.30	0.48	-0.18	0.383	0.810	(B) Mesenchymal
NICN1	3p21.31	0.07	0.25	0.11	0.34	-0.18	0.174	0.714	(B) Mesenchymal
SDSL	12q24.13	0.10	0.28	0.27	0.53	-0.18	0.402	0.818	(B) Mesenchymal
IYD	6q25.1	0.05	0.23	0.11	0.55	-0.18	0.473	0.843	(B) Mesenchymal
DPY19L2	12q14.2	0.23	0.41	0.40	0.59	-0.18	0.486	0.851	(B) Mesenchymal
ITPRIPL1	2q11.2	0.00	0.18	0.01	0.34	-0.18	0.154	0.711	(B) Mesenchymal
STARD4-AS1	5q22.1	0.25	0.43	0.38	0.33	-0.18	0.350	0.797	(B) Mesenchymal
GLCE	15q23	0.15	0.33	0.23	0.41	-0.18	0.291	0.768	(B) Mesenchymal
CHL1-AS1	3p26.3	0.33	0.51	0.47	0.33	-0.18	0.707	0.926	(B) Mesenchymal
SPDYA	2p23.2	0.31	0.49	0.39	0.51	-0.18	0.441	0.831	(B) Mesenchymal
KCNJ14	19q13.33	0.57	0.74	0.64	0.61	-0.18	0.582	0.883	(B) Mesenchymal
ZSCAN5B	19q13.43	0.23	0.40	0.39	0.57	-0.18	0.745	0.936	(B) Mesenchymal
ZNF271P	18q12.2	0.27	0.45	0.33	0.33	-0.18	0.305	0.776	(B) Mesenchymal
GAL3ST4	7q22.1	0.06	0.24	0.16	0.38	-0.18	0.228	0.739	(B) Mesenchymal
CLIC6	21q22.12	0.03	0.20	0.07	0.32	-0.18	0.144	0.706	(B) Mesenchymal
HDAC8	Xq13.1	0.09	0.27	0.10	0.26	-0.18	0.0895	0.692	(B) Mesenchymal
ABHD16B	20q13.33	0.16	0.34	0.35	0.43	-0.18	0.375	0.806	(B) Mesenchymal
H1-6	6p22.2	0.39	0.57	0.42	0.59	-0.18	0.562	0.878	(B) Mesenchymal
DES	2q35	0.51	0.69	0.51	1.12	-0.18	0.698	0.924	(B) Mesenchymal
SERF1A	5q13.2	0.23	0.41	0.51	0.81	-0.18	0.719	0.928	(B) Mesenchymal
ADAMTS4	1q23.3	0.22	0.40	0.36	0.66	-0.18	0.504	0.856	(B) Mesenchymal
S100A5	1q21.3	0.09	0.26	0.17	0.30	-0.18	0.266	0.756	(B) Mesenchymal
CHMP2A	19q13.43	0.06	0.23	0.15	0.30	-0.18	0.148	0.709	(B) Mesenchymal
YY1	14q32.2	0.08	0.26	0.15	0.35	-0.18	0.195	0.719	(B) Mesenchymal
BLOC1S3	19q13.32	0.18	0.36	0.31	0.44	-0.18	0.363	0.802	(B) Mesenchymal
TAS2R50	12p13.2	0.34	0.52	0.47	0.61	-0.18	0.580	0.883	(B) Mesenchymal
IFT70A	2q31.2	0.08	0.26	0.14	0.41	-0.18	0.254	0.752	(B) Mesenchymal
SH2B2	7q22.1	0.23	0.41	0.40	0.53	-0.18	0.456	0.835	(B) Mesenchymal
TSHR	14q24-q31	0.40	0.58	0.62	0.70	-0.18	0.596	0.888	(B) Mesenchymal
KCNMB4	12q15	0.11	0.28	0.22	0.55	-0.18	0.392	0.813	(B) Mesenchymal
ZFC3H1	12q21.1	0.08	0.26	0.13	0.40	-0.18	0.232	0.741	(B) Mesenchymal
ACVR1B	12q13.13	0.02	0.20	0.06	0.28	-0.18	0.100	0.692	(B) Mesenchymal
GRTP1-AS1	13q34	0.39	0.57	0.64	0.58	-0.18	0.595	0.887	(B) Mesenchymal
DNAJC18	5q31.2	0.07	0.24	0.17	0.34	-0.18	0.197	0.720	(B) Mesenchymal
ZNF292	6q14.3	0.19	0.37	0.23	0.46	-0.18	0.326	0.789	(B) Mesenchymal
MED9	17p11.2	0.17	0.35	0.21	0.52	-0.18	0.367	0.803	(B) Mesenchymal
SLC15A2	3q13.33	0.06	0.24	0.13	0.50	-0.18	0.332	0.791	(B) Mesenchymal
LINC00997	7p14.3	0.08	0.26	0.11	0.39	-0.18	0.220	0.735	(B) Mesenchymal
KDM4A	1p34.2-p34.1	0.06	0.24	0.09	0.40	-0.18	0.226	0.738	(B) Mesenchymal
NBPF11	1q21.2	0.16	0.34	0.26	0.44	-0.18	0.332	0.792	(B) Mesenchymal
RNF145	5q33.3	0.04	0.22	0.11	0.43	-0.18	0.255	0.752	(B) Mesenchymal
DNAAF9	20p13	0.07	0.24	0.17	0.36	-0.18	0.218	0.733	(B) Mesenchymal
TAS2R5	7q34	0.53	0.71	0.67	0.62	-0.18	0.595	0.887	(B) Mesenchymal
IGF1	12q23.2	0.18	0.36	0.47	0.64	-0.18	0.529	0.866	(B) Mesenchymal
EGR4	2p13.2	0.55	0.73	0.67	0.88	-0.18	0.674	0.915	(B) Mesenchymal
ZNF681	19p12	0.24	0.42	0.32	0.35	-0.18	0.307	0.778	(B) Mesenchymal
RBMS2	12q13.3	0.01	0.19	0.02	0.30	-0.18	0.108	0.692	(B) Mesenchymal
CYSTM1	5q31.3	0.02	0.20	0.04	0.35	-0.18	0.162	0.714	(B) Mesenchymal
VANGL2	1q23.2	0.39	0.57	0.46	0.43	-0.18	0.441	0.831	(B) Mesenchymal
PPP1R14B	11q13.1	0.43	0.61	0.49	0.51	-0.18	0.487	0.851	(B) Mesenchymal
SLC35D1	1p31.3	0.10	0.28	0.14	0.28	-0.18	0.122	0.697	(B) Mesenchymal
HMGN5	Xq21.1	0.14	0.32	0.30	0.46	-0.18	0.361	0.802	(B) Mesenchymal
TMEM259	19p13.3	0.02	0.20	0.04	0.29	-0.18	0.103	0.692	(B) Mesenchymal
TRAPPC13	5q12.3	0.05	0.23	0.13	0.39	-0.18	0.223	0.736	(B) Mesenchymal
PRCC	1q23.1	0.30	0.48	0.28	0.34	-0.18	0.264	0.756	(B) Mesenchymal
MXD4	4p16.3	0.07	0.25	0.15	0.36	-0.18	0.204	0.721	(B) Mesenchymal
PIK3R2	19p13.11	0.16	0.34	0.21	0.42	-0.18	0.286	0.766	(B) Mesenchymal
ARID1A	1p36.11	0.08	0.26	0.18	0.39	-0.18	0.241	0.745	(B) Mesenchymal
ZNF529	19q13.12	0.30	0.48	0.36	0.33	-0.18	0.324	0.788	(B) Mesenchymal
HYI	1p34.2	0.02	0.20	0.06	0.29	-0.18	0.107	0.692	(B) Mesenchymal
ITGB1	10p11.22	0.16	0.34	0.27	0.39	-0.18	0.292	0.768	(B) Mesenchymal
CLCN6	1p36.22	0.06	0.24	0.16	0.37	-0.18	0.212	0.728	(B) Mesenchymal
ITIH4	3p21.1	0.15	0.33	0.35	0.39	-0.18	0.347	0.797	(B) Mesenchymal
AKAP13	15q25.3	0.03	0.21	0.07	0.35	-0.18	0.170	0.714	(B) Mesenchymal
SLC1A5	19q13.32	0.31	0.49	0.47	0.49	-0.18	0.466	0.840	(B) Mesenchymal
ZNF518B	4p16.1	0.16	0.34	0.21	0.39	-0.18	0.252	0.751	(B) Mesenchymal
BNIP1	5q35.1	0.05	0.23	0.06	0.32	-0.18	0.129	0.700	(B) Mesenchymal
PARM1-AS1	4q13.3	0.25	0.43	0.41	0.61	-0.18	0.592	0.887	(B) Mesenchymal
PDGFA	7p22.3	0.22	0.40	0.31	0.53	-0.18	0.405	0.819	(B) Mesenchymal
NRG1	8p12	0.42	0.60	0.58	0.97	-0.18	0.650	0.908	(B) Mesenchymal
GIGYF1	7q22.1	0.25	0.43	0.36	0.37	-0.18	0.338	0.795	(B) Mesenchymal
NPIPB3	16p12.2	0.17	0.36	0.31	0.47	-0.18	0.375	0.806	(B) Mesenchymal
CACNA2D1-AS1	7q21.11	0.20	0.38	0.40	0.62	-0.18	0.558	0.877	(B) Mesenchymal
CDADC1	13q14.2	0.05	0.23	0.14	0.46	-0.18	0.292	0.768	(B) Mesenchymal
HMGCR	5q13.3	0.13	0.31	0.27	0.35	-0.18	0.264	0.756	(B) Mesenchymal
DUXAP9	14q11.2	0.41	0.59	0.54	0.77	-0.18	0.590	0.887	(B) Mesenchymal
GMNC	3q28	0.33	0.51	0.31	0.73	-0.18	0.786	0.948	(B) Mesenchymal
TRAM1L1	4q26	0.27	0.45	0.40	0.40	-0.18	0.389	0.812	(B) Mesenchymal
ABTB3	12q23.3	0.01	0.19	0.02	0.56	-0.18	0.362	0.802	(B) Mesenchymal
ANAPC1	2q13	0.34	0.53	0.43	0.44	-0.18	0.426	0.825	(B) Mesenchymal
FAM106A	17p11.2	0.32	0.50	0.49	0.55	-0.18	0.497	0.854	(B) Mesenchymal
HELZ	17q24.2	0.05	0.23	0.12	0.37	-0.18	0.198	0.720	(B) Mesenchymal
CCDC54	3q13.12	0.05	0.23	0.09	0.39	-0.18	0.431	0.827	(B) Mesenchymal
XRN2	20p11.22	0.07	0.25	0.19	0.28	-0.18	0.143	0.706	(B) Mesenchymal
HDGFL3	15q25.2	0.21	0.40	0.36	0.46	-0.18	0.394	0.814	(B) Mesenchymal
ZNF93	19p12	0.22	0.40	0.30	0.29	-0.18	0.248	0.750	(B) Mesenchymal
FUNDC2	Xq28	0.06	0.24	0.12	0.30	-0.18	0.123	0.697	(B) Mesenchymal
TNFRSF4	1p36.33	0.16	0.34	0.30	0.53	-0.18	0.405	0.819	(B) Mesenchymal
RHOQ-AS1	2p21	0.17	0.35	0.25	0.48	-0.18	0.351	0.797	(B) Mesenchymal
MOSPD3	7q22.1	0.26	0.44	0.52	0.38	-0.18	0.452	0.835	(B) Mesenchymal
ZNF707	8q24.3	0.59	0.77	0.35	0.45	-0.18	0.381	0.808	(B) Mesenchymal
ACVR1	2q24.1	0.06	0.24	0.11	0.25	-0.18	0.0759	0.692	(B) Mesenchymal
CDK3	17q25.1	0.23	0.41	0.30	0.54	-0.18	0.410	0.820	(B) Mesenchymal
ELP3	8p21.1	0.01	0.19	0.01	0.32	-0.18	0.124	0.698	(B) Mesenchymal
MTMR9LP	1p35.2	0.13	0.31	0.33	0.58	-0.18	0.447	0.833	(B) Mesenchymal
BMP3	4q21.21	0.20	0.38	0.39	0.94	-0.18	0.673	0.915	(B) Mesenchymal
PRELID3A	18p11.21	0.49	0.67	0.50	0.48	-0.18	0.475	0.844	(B) Mesenchymal
QRICH1	3p21.31	0.03	0.21	0.07	0.31	-0.18	0.128	0.700	(B) Mesenchymal
XRRA1	11q13.4	0.21	0.39	0.41	0.47	-0.18	0.425	0.824	(B) Mesenchymal
FUT4	11q21	0.36	0.55	0.56	0.54	-0.18	0.524	0.864	(B) Mesenchymal
CTAGE7P	10q26.3	0.44	0.62	0.44	0.57	-0.18	0.483	0.850	(B) Mesenchymal
TONSL	8q24.3	0.60	0.78	0.52	0.61	-0.18	0.531	0.867	(B) Mesenchymal
TP53I3	2p23.3	0.21	0.40	0.29	0.58	-0.18	0.429	0.826	(B) Mesenchymal
NUP107	12q15	0.13	0.31	0.13	0.55	-0.18	0.359	0.801	(B) Mesenchymal
PTPRD-AS1	9p24.1	0.01	0.20	0.04	0.28	-0.18	0.115	0.692	(B) Mesenchymal
RIC8B	12q23.3	0.16	0.35	0.35	0.39	-0.18	0.343	0.797	(B) Mesenchymal
FGF1	5q31.3	0.17	0.35	0.30	0.71	-0.18	0.504	0.856	(B) Mesenchymal
OXTR	3p25.3	0.26	0.44	0.64	0.55	-0.18	0.560	0.877	(B) Mesenchymal
CDS2	20p12.3	0.06	0.24	0.10	0.26	-0.18	0.0806	0.692	(B) Mesenchymal
MAPK12	22q13.33	0.71	0.89	0.58	0.90	-0.18	0.631	0.900	(B) Mesenchymal
PRAF2	Xp11.23	0.24	0.43	0.54	0.58	-0.18	0.530	0.866	(B) Mesenchymal
RHEB	7q36.1	0.36	0.54	0.44	0.46	-0.18	0.436	0.829	(B) Mesenchymal
ZNF20	19p13.2	0.05	0.24	0.09	0.24	-0.18	0.0618	0.692	(B) Mesenchymal
ACSL4	Xq23	0.16	0.34	0.23	0.47	-0.18	0.329	0.790	(B) Mesenchymal
KCNC4	1p13.3	0.02	0.20	0.04	0.32	-0.18	0.128	0.700	(B) Mesenchymal
MYOCD	17p12	0.19	0.37	0.32	0.54	-0.18	0.437	0.830	(B) Mesenchymal
H2BC8	6p22.2	0.61	0.79	0.65	0.72	-0.18	0.605	0.890	(B) Mesenchymal
EGLN3	14q13.1	0.14	0.32	0.24	0.50	-0.18	0.356	0.799	(B) Mesenchymal
SELENOT	3q25.1	0.00	0.18	0.00	0.32	-0.18	0.131	0.700	(B) Mesenchymal
CLCN7	16p13.3	0.09	0.28	0.19	0.42	-0.18	0.265	0.756	(B) Mesenchymal
CARMIL1	6p22.2	0.16	0.34	0.27	0.40	-0.18	0.298	0.773	(B) Mesenchymal
CCDC174	3p25.1	0.10	0.28	0.14	0.35	-0.18	0.182	0.714	(B) Mesenchymal
FKBP6	7q11.23	0.32	0.50	0.64	0.49	-0.18	0.643	0.905	(B) Mesenchymal
DUBR	3q13.12	0.17	0.35	0.32	0.50	-0.18	0.393	0.813	(B) Mesenchymal
