Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TFRC	3q29	1.00	0.21	0.51	0.32	0.79	5.640e-3	0.692	(A) Basal-Like 1
OR2W3	1q44	0.88	0.09	1.07	0.15	0.79	0.237	0.743	(A) Basal-Like 1
ELAVL2	9p21.3	1.60	0.81	0.92	0.79	0.79	0.0965	0.692	(A) Basal-Like 1
ATP4B	13q34	1.21	0.43	0.67	0.70	0.79	0.171	0.714	(A) Basal-Like 1
LINC01783	1p36.13	1.02	0.23	1.44	0.40	0.78	0.581	0.883	(A) Basal-Like 1
DCHS2	4q31.3	1.24	0.46	0.88	0.76	0.78	0.0852	0.692	(A) Basal-Like 1
AICDA	12p13.31	0.84	0.06	0.66	0.14	0.78	0.0548	0.692	(A) Basal-Like 1
CXCL16	17p13.2	0.81	0.03	0.54	0.09	0.78	8.814e-3	0.692	(A) Basal-Like 1
KRT81	12q13.13	2.16	1.38	0.96	1.34	0.78	0.199	0.720	(A) Basal-Like 1
LINC00928	15q26.1	1.18	0.40	1.05	0.51	0.78	0.330	0.790	(A) Basal-Like 1
PPP1R14C	6q25.1	1.12	0.35	0.83	0.64	0.77	0.0658	0.692	(A) Basal-Like 1
DIPK1C	18q22.3	1.15	0.38	1.12	0.96	0.77	0.178	0.714	(A) Basal-Like 1
IRAK1	Xq28	0.90	0.13	0.38	0.19	0.77	9.929e-4	0.692	(A) Basal-Like 1
PAQR6	1q22	1.34	0.57	0.66	0.64	0.77	0.0347	0.692	(A) Basal-Like 1
TMPRSS3	21q22.3	1.29	0.52	0.72	0.81	0.77	0.0650	0.692	(A) Basal-Like 1
SLC2A6	9q34.2	0.91	0.14	0.69	0.29	0.77	0.0263	0.692	(A) Basal-Like 1
CCL4	17q12	0.82	0.06	0.53	0.15	0.76	8.191e-3	0.692	(A) Basal-Like 1
DAPP1	4q23	0.85	0.10	0.52	0.25	0.76	7.501e-3	0.692	(A) Basal-Like 1
AFAP1-AS1	4p16.1	1.57	0.81	1.10	1.03	0.76	0.184	0.714	(A) Basal-Like 1
MUC16	19p13.2	1.55	0.79	0.82	0.75	0.76	0.0805	0.692	(A) Basal-Like 1
SLAMF7	1q23.3	0.84	0.09	0.78	0.23	0.75	0.0435	0.692	(A) Basal-Like 1
ZDBF2	2q33.3	0.85	0.10	0.70	0.30	0.75	0.0300	0.692	(A) Basal-Like 1
OTP	5q14.1	0.87	0.12	1.23	0.19	0.75	0.547	0.873	(A) Basal-Like 1
SCNN1B	16p12.2	1.10	0.35	0.84	0.46	0.75	0.0628	0.692	(A) Basal-Like 1
SDR16C5	8q12.1	0.79	0.04	0.98	0.11	0.75	0.122	0.697	(A) Basal-Like 1
