Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
LINC00235	16p13.3	0.08	0.88	0.16	0.39	-0.80	1.691e-4	0.0185	(B) Mesenchymal
LAX1	1q32.1	1.66	0.01	0.65	0.03	1.65	1.715e-4	0.0187	(A) Immunomodulatory
PNMA8A	19q13.32	0.24	1.31	0.46	0.40	-1.07	1.748e-4	0.0188	(B) Mesenchymal
PSME1	14q12	0.76	0.05	0.31	0.14	0.71	1.780e-4	0.0190	(A) Immunomodulatory
GMFG	19q13.2	0.97	0.11	0.39	0.21	0.86	1.815e-4	0.0193	(A) Immunomodulatory
ZNF304	19q13.43	0.05	0.54	0.14	0.24	-0.48	1.843e-4	0.0195	(B) Mesenchymal
PSME2	14q12	0.90	0.11	0.36	0.23	0.78	1.899e-4	0.0200	(A) Immunomodulatory
IGFLR1	19q13.12	0.98	0.02	0.39	0.05	0.96	1.924e-4	0.0200	(A) Immunomodulatory
TBX21	17q21.32	1.26	0.02	0.50	0.04	1.25	1.930e-4	0.0200	(A) Immunomodulatory
VPREB3	22q11.23	1.31	0.13	0.52	0.22	1.18	1.931e-4	0.0200	(A) Immunomodulatory
ADAMDEC1	8p21.2	1.31	0.01	0.52	0.02	1.30	1.953e-4	0.0200	(A) Immunomodulatory
ZNF267	16p11.2	0.63	0.09	0.24	0.19	0.54	2.025e-4	0.0206	(A) Immunomodulatory
UBASH3A	21q22.3	1.12	0.05	0.46	0.15	1.07	2.048e-4	0.0208	(A) Immunomodulatory
JAML	11q23.3	1.05	0.04	0.43	0.12	1.01	2.156e-4	0.0218	(A) Immunomodulatory
CXORF65	Xq13.1	1.09	0.09	0.44	0.18	0.99	2.181e-4	0.0219	(A) Immunomodulatory
ARHGAP9	12q13.3	1.01	0.02	0.41	0.05	1.00	2.243e-4	0.0223	(A) Immunomodulatory
CD6	11q12.2	1.15	0.04	0.47	0.11	1.11	2.243e-4	0.0223	(A) Immunomodulatory
PSMB10	16q22.1	0.91	0.04	0.37	0.09	0.86	2.319e-4	0.0227	(A) Immunomodulatory
DCANP1	5q31.1	1.26	0.23	0.47	0.36	1.02	2.335e-4	0.0227	(A) Immunomodulatory
TAP1	6p21.32	1.09	0.08	0.44	0.14	1.01	2.335e-4	0.0227	(A) Immunomodulatory
CXCL1	4q13.3	1.40	0.03	0.58	0.10	1.37	2.402e-4	0.0232	(A) Immunomodulatory
IRF1	5q31.1	1.04	0.02	0.43	0.06	1.02	2.465e-4	0.0237	(A) Immunomodulatory
RASAL1	12q24.13	0.16	1.19	0.32	0.53	-1.04	2.482e-4	0.0237	(B) Mesenchymal
BHLHE40-AS1	3p26.1	0.92	0.12	0.37	0.19	0.80	2.500e-4	0.0238	(A) Immunomodulatory
JRK	8q24.3	0.09	0.79	0.15	0.36	-0.70	2.664e-4	0.0252	(B) Mesenchymal
XCL2	1q24.2	1.29	0.01	0.54	0.04	1.27	2.752e-4	0.0258	(A) Immunomodulatory
TAGAP	6q25.3	1.07	0.15	0.42	0.34	0.91	2.758e-4	0.0258	(A) Immunomodulatory
CD96	3q13.13-q13.2	1.23	0.18	0.43	0.48	1.05	2.842e-4	0.0265	(A) Immunomodulatory
CLEC9A	12p13.2	1.24	0.31	0.27	0.49	0.93	2.891e-4	0.0268	(A) Immunomodulatory
HSF5	17q22	1.04	0.10	0.44	0.31	0.93	2.951e-4	0.0271	(A) Immunomodulatory
ITGB7	12q13.13	1.10	0.11	0.47	0.34	0.98	3.095e-4	0.0278	(A) Immunomodulatory
BLNK	10q24.1	0.85	0.12	0.33	0.32	0.73	3.214e-4	0.0287	(A) Immunomodulatory
IRF2	4q35.1	0.62	0.01	0.27	0.03	0.61	3.264e-4	0.0290	(A) Immunomodulatory
PVRIG	7q22.1	0.98	0.01	0.42	0.03	0.97	3.351e-4	0.0297	(A) Immunomodulatory
SASH3	Xq26.1	0.98	0.03	0.43	0.09	0.95	3.520e-4	0.0310	(A) Immunomodulatory
CD164L2	1p36.11	0.29	1.21	0.38	0.41	-0.92	3.682e-4	0.0322	(B) Mesenchymal
ZC3H12D	6q25.1	1.06	0.04	0.47	0.11	1.02	3.733e-4	0.0325	(A) Immunomodulatory
POU2F2	19q13.2	0.95	0.06	0.43	0.19	0.89	3.779e-4	0.0327	(A) Immunomodulatory
PNRC1	6q15	0.71	0.11	0.27	0.26	0.60	3.875e-4	0.0333	(A) Immunomodulatory
CTSW	11q13.1	1.29	0.09	0.59	0.26	1.20	3.935e-4	0.0336	(A) Immunomodulatory
FLT3LG	19q13.33	0.80	0.00	0.36	0.01	0.80	3.973e-4	0.0338	(A) Immunomodulatory
