Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
NCAPH	2q11.2	0.48	0.50	0.48	0.49	-0.02	0.919	0.974	(B) Mesenchymal
AP1B1	22q12.2	0.21	0.19	0.32	0.28	0.02	0.919	0.974	(A) Immunomodulatory
PDZK1P1	1q21.2	0.27	0.25	0.41	0.37	0.02	0.919	0.974	(A) Immunomodulatory
EVI5	1p22.1	0.18	0.19	0.23	0.25	-0.01	0.919	0.974	(B) Mesenchymal
DHRS7	14q23.1	0.24	0.22	0.34	0.35	0.02	0.919	0.974	(A) Immunomodulatory
PSMD7	16q23.1	0.23	0.21	0.38	0.25	0.02	0.919	0.974	(A) Immunomodulatory
RASSF6	4q13.3	0.26	0.24	0.35	0.43	0.02	0.919	0.974	(A) Immunomodulatory
MAK	6p24.2	0.13	0.11	0.26	0.30	0.01	0.920	0.974	(A) Immunomodulatory
TRIB3	20p13	0.24	0.26	0.35	0.37	-0.02	0.920	0.974	(B) Mesenchymal
ZDHHC24	11q13.2	0.13	0.14	0.19	0.27	-0.01	0.920	0.974	(B) Mesenchymal
SLC5A10	17p11.2	0.38	0.41	0.52	0.66	-0.04	0.920	0.974	(B) Mesenchymal
MRPL43	10q24.31	0.25	0.27	0.28	0.36	-0.02	0.920	0.974	(B) Mesenchymal
INSC	11p15.2	0.69	0.64	0.71	1.00	0.04	0.920	0.974	(A) Immunomodulatory
TRAPPC13	5q12.3	0.25	0.23	0.26	0.39	0.02	0.920	0.974	(A) Immunomodulatory
CDH12	5p14.3	0.50	0.46	0.59	0.72	0.05	0.920	0.974	(A) Immunomodulatory
INO80C	18q12.2	0.34	0.32	0.31	0.40	0.02	0.920	0.974	(A) Immunomodulatory
ZNF165	6p22.1	0.49	0.47	0.47	0.46	0.02	0.920	0.974	(A) Immunomodulatory
ETS2	21q22.2	0.20	0.22	0.30	0.31	-0.02	0.920	0.974	(B) Mesenchymal
SCD5	4q21.22	0.34	0.37	0.38	0.59	-0.02	0.920	0.974	(B) Mesenchymal
DMRTA2	1p32.3	0.48	0.53	0.84	0.79	-0.05	0.921	0.974	(B) Mesenchymal
ARLN	4q26	0.33	0.31	0.21	0.45	0.02	0.921	0.974	(A) Immunomodulatory
SLC44A1	9q31.1-q31.2	0.23	0.25	0.34	0.39	-0.02	0.921	0.974	(B) Mesenchymal
ANKRD40	17q21.33	0.19	0.17	0.33	0.27	0.01	0.921	0.974	(A) Immunomodulatory
METTL14	4q26	0.16	0.15	0.20	0.32	0.01	0.921	0.974	(A) Immunomodulatory
ZNF275	Xq28	0.25	0.27	0.35	0.32	-0.02	0.921	0.974	(B) Mesenchymal
SSPN	12p12.1	0.23	0.24	0.29	0.43	-0.02	0.921	0.974	(B) Mesenchymal
PIGN	18q21.33	0.17	0.19	0.26	0.28	-0.01	0.921	0.974	(B) Mesenchymal
TMPO	12q23.1	0.50	0.48	0.40	0.60	0.02	0.921	0.974	(A) Immunomodulatory
SNHG3	1p35.3	0.38	0.41	0.47	0.66	-0.03	0.921	0.974	(B) Mesenchymal
MED14OS	Xp11.4	0.31	0.29	0.40	0.44	0.02	0.921	0.974	(A) Immunomodulatory
SOX17	8q11.23	0.31	0.29	0.30	0.43	0.02	0.921	0.974	(A) Immunomodulatory
TBC1D19	4p15.2	0.22	0.24	0.26	0.32	-0.01	0.921	0.974	(B) Mesenchymal
SCART1	10q26.3	0.23	0.26	0.43	0.48	-0.02	0.921	0.974	(B) Mesenchymal
THOP1	19p13.3	0.27	0.29	0.42	0.38	-0.02	0.921	0.974	(B) Mesenchymal
THAP7	22q11.21	0.26	0.28	0.39	0.32	-0.02	0.921	0.974	(B) Mesenchymal
HSPA12B	20p13	0.23	0.24	0.29	0.40	-0.02	0.921	0.974	(B) Mesenchymal
MOGAT2	11q13.5	0.35	0.32	0.64	0.49	0.03	0.921	0.974	(A) Immunomodulatory
ZNF317	19p13.2	0.15	0.14	0.26	0.17	0.01	0.921	0.974	(A) Immunomodulatory
TNXB	6p21.33-p21.32	0.56	0.53	0.53	0.67	0.03	0.921	0.974	(A) Immunomodulatory
YBX1	1p34.2	0.33	0.35	0.39	0.46	-0.02	0.922	0.974	(B) Mesenchymal
TTC34	1p36.32	0.35	0.39	0.49	0.42	-0.03	0.922	0.974	(B) Mesenchymal
RNF212B	14q11.2	0.25	0.23	0.38	0.47	0.02	0.922	0.974	(A) Immunomodulatory
BMP2K	4q21.21	0.24	0.22	0.31	0.45	0.02	0.922	0.974	(A) Immunomodulatory
ANKMY2	7p21.1	0.11	0.12	0.14	0.23	-0.01	0.922	0.974	(B) Mesenchymal
GOT1	10q24.2	0.28	0.26	0.41	0.33	0.02	0.922	0.974	(A) Immunomodulatory
CISD1	10q21.1	0.22	0.23	0.25	0.32	-0.01	0.922	0.974	(B) Mesenchymal
ATP6V1E1	22q11.21	0.21	0.20	0.21	0.32	0.01	0.922	0.974	(A) Immunomodulatory
ZNF354A	5q35.3	0.17	0.15	0.27	0.37	0.02	0.922	0.974	(A) Immunomodulatory
ESR1	6q25.1-q25.2	0.40	0.37	0.44	0.77	0.03	0.922	0.974	(A) Immunomodulatory
LYPD5	19q13.31	0.68	0.63	0.88	0.92	0.04	0.922	0.974	(A) Immunomodulatory
ITGA3	17q21.33	0.11	0.10	0.22	0.19	0.01	0.922	0.974	(A) Immunomodulatory
ECI1	16p13.3	0.24	0.26	0.36	0.32	-0.02	0.922	0.974	(B) Mesenchymal
CEACAM19	19q13.31	0.41	0.38	0.62	0.46	0.03	0.922	0.974	(A) Immunomodulatory
DCPS	11q24.2	0.35	0.33	0.20	0.48	0.02	0.922	0.974	(A) Immunomodulatory
NUPR1	16p11.2	0.24	0.26	0.37	0.44	-0.02	0.922	0.974	(B) Mesenchymal
MED1	17q12	0.22	0.21	0.21	0.32	0.01	0.923	0.975	(A) Immunomodulatory
TCEAL1	Xq22.2	0.13	0.14	0.27	0.22	-0.01	0.923	0.975	(B) Mesenchymal
ACTN1	14q24.1	0.22	0.25	0.41	0.48	-0.02	0.923	0.975	(B) Mesenchymal
ZNF571	19q13.12	0.20	0.19	0.29	0.30	0.01	0.923	0.975	(A) Immunomodulatory
ACER2	9p22.1	0.19	0.21	0.30	0.48	-0.02	0.923	0.975	(B) Mesenchymal
PSMG2	18p11.21	0.32	0.30	0.42	0.45	0.02	0.923	0.975	(A) Immunomodulatory
IL11RA	9p13.3	0.27	0.30	0.28	0.61	-0.02	0.923	0.975	(B) Mesenchymal
DDX23	12q13.12	0.15	0.14	0.17	0.23	0.01	0.923	0.975	(A) Immunomodulatory
ADAMTSL5	19p13.3	0.32	0.35	0.48	0.58	-0.03	0.923	0.975	(B) Mesenchymal
SLC38A1	12q13.11	0.22	0.23	0.30	0.35	-0.02	0.923	0.975	(B) Mesenchymal
FUT5	19p13.3	0.62	0.58	0.72	0.65	0.04	0.923	0.975	(A) Immunomodulatory
MAN1B1-DT	9q34.3	0.23	0.25	0.35	0.32	-0.02	0.923	0.975	(B) Mesenchymal
GEM	8q22.1	0.44	0.42	0.48	0.38	0.02	0.923	0.975	(A) Immunomodulatory
ARL6IP4	12q24.31	0.38	0.36	0.35	0.41	0.02	0.924	0.975	(A) Immunomodulatory
KIAA0586	14q23.1	0.07	0.07	0.09	0.11	0.00	0.924	0.975	(A) Immunomodulatory
CCNE1	19q12	0.48	0.51	0.40	0.57	-0.02	0.924	0.975	(B) Mesenchymal
PITX3	10q24.32	0.16	0.14	0.18	0.25	0.01	0.924	0.975	(A) Immunomodulatory
PIF1	15q22.31	0.66	0.64	0.55	0.65	0.03	0.924	0.975	(A) Immunomodulatory
DUSP9	Xq28	0.66	0.69	0.85	0.82	-0.04	0.924	0.975	(B) Mesenchymal
PIH1D2	11q23.1	0.20	0.21	0.35	0.39	-0.02	0.924	0.975	(B) Mesenchymal
DPH5	1p21.2	0.28	0.27	0.29	0.22	0.01	0.924	0.975	(A) Immunomodulatory
IER3	6p21.33	0.47	0.50	0.66	0.60	-0.03	0.924	0.975	(B) Mesenchymal
TDRD9	14q32.33	0.42	0.38	0.59	0.78	0.03	0.924	0.975	(A) Immunomodulatory
FMO5	1q21.1	0.24	0.23	0.33	0.45	0.02	0.924	0.975	(A) Immunomodulatory
LINC00882	3q13.12	0.14	0.13	0.41	0.19	0.02	0.924	0.975	(A) Immunomodulatory
QTMAN	2q22.3	0.28	0.26	0.29	0.30	0.01	0.924	0.975	(A) Immunomodulatory
SLFN13	17q12	0.31	0.29	0.43	0.46	0.02	0.924	0.975	(A) Immunomodulatory
CRACR2B	11p15.5	0.31	0.34	0.44	0.52	-0.02	0.924	0.975	(B) Mesenchymal
HSPA8	11q24.1	0.19	0.21	0.20	0.40	-0.01	0.924	0.975	(B) Mesenchymal
SUB1	5p13.3	0.50	0.48	0.20	0.54	0.02	0.924	0.975	(A) Immunomodulatory
SRD5A3	4q12	0.34	0.32	0.49	0.56	0.02	0.924	0.975	(A) Immunomodulatory
CTDNEP1	17p13.1	0.20	0.19	0.33	0.32	0.02	0.925	0.975	(A) Immunomodulatory
DYNLT4	1p34.1	0.30	0.28	0.56	0.39	0.02	0.925	0.975	(A) Immunomodulatory
LINC00260	1q32.1	0.28	0.30	0.43	0.58	-0.02	0.925	0.975	(B) Mesenchymal
WTAPP1	11q22.2	0.29	0.32	0.51	0.61	-0.03	0.925	0.975	(B) Mesenchymal
PITPNA-AS1	17p13.3	0.28	0.27	0.37	0.30	0.02	0.925	0.975	(A) Immunomodulatory
PHF10	6q27	0.40	0.42	0.46	0.48	-0.02	0.925	0.975	(B) Mesenchymal
ERGIC2	12p11.22	0.30	0.28	0.35	0.44	0.02	0.925	0.975	(A) Immunomodulatory
SLC22A31	16q24.3	0.78	0.82	0.83	0.93	-0.04	0.925	0.975	(B) Mesenchymal
MTX1	1q22	0.19	0.21	0.23	0.21	-0.01	0.925	0.975	(B) Mesenchymal
LENEP	1q21.3	0.65	0.61	0.58	0.40	0.04	0.925	0.975	(A) Immunomodulatory
RSPH6A	19q13.3	0.23	0.25	0.27	0.45	-0.02	0.925	0.975	(B) Mesenchymal
FAM110C	2p25.3	0.25	0.28	0.47	0.58	-0.02	0.925	0.975	(B) Mesenchymal
BAG5	14q32.33	0.23	0.22	0.31	0.34	0.01	0.925	0.975	(A) Immunomodulatory
FNTB	14q23.3	0.15	0.17	0.29	0.33	-0.01	0.925	0.975	(B) Mesenchymal
NFS1	20q11.22	0.18	0.17	0.20	0.25	0.01	0.925	0.975	(A) Immunomodulatory
PRMT1	19q13.33	0.45	0.43	0.53	0.48	0.02	0.925	0.975	(A) Immunomodulatory
UCHL5	1q31.2	0.29	0.31	0.40	0.35	-0.02	0.925	0.975	(B) Mesenchymal
SET	9q34.11	0.27	0.25	0.27	0.32	0.01	0.925	0.975	(A) Immunomodulatory
UBXN8	8p12	0.22	0.24	0.27	0.39	-0.02	0.926	0.975	(B) Mesenchymal
THOC7	3p14.1	0.23	0.25	0.32	0.33	-0.02	0.926	0.975	(B) Mesenchymal
ZFP37	9q32	0.19	0.21	0.24	0.35	-0.01	0.926	0.975	(B) Mesenchymal
GGT6	17p13.2	0.26	0.28	0.39	0.50	-0.02	0.926	0.975	(B) Mesenchymal
PPIB	15q22.31	0.36	0.38	0.45	0.42	-0.02	0.926	0.975	(B) Mesenchymal
IL13RA2	Xq23	0.40	0.37	0.51	0.57	0.02	0.926	0.975	(A) Immunomodulatory
SRPX	Xp11.4	0.41	0.43	0.44	0.57	-0.02	0.926	0.975	(B) Mesenchymal
ASS1	9q34.11	0.52	0.55	0.59	0.62	-0.03	0.926	0.975	(B) Mesenchymal
MYLK3	16q11.2	0.45	0.48	0.55	0.78	-0.03	0.926	0.976	(B) Mesenchymal
YWHAEP1	7q11.21	0.44	0.40	0.26	0.98	0.04	0.926	0.976	(A) Immunomodulatory
CUTA	6p21.32	0.35	0.37	0.42	0.50	-0.02	0.926	0.976	(B) Mesenchymal
CLPX	15q22.31	0.12	0.11	0.15	0.22	0.01	0.926	0.976	(A) Immunomodulatory
DAD1	14q11.2	0.28	0.26	0.39	0.31	0.02	0.926	0.976	(A) Immunomodulatory
ZNF91	19p12	0.21	0.20	0.29	0.29	0.01	0.927	0.976	(A) Immunomodulatory
PXDNL	8q11.22-q11.23	0.73	0.77	1.00	0.74	-0.04	0.927	0.976	(B) Mesenchymal
SLC10A4	4p11	0.43	0.40	0.49	0.75	0.03	0.927	0.976	(A) Immunomodulatory
TIAL1	10q26.11	0.20	0.22	0.38	0.24	-0.01	0.927	0.976	(B) Mesenchymal
TOGARAM1	14q21.2	0.15	0.14	0.18	0.28	0.01	0.927	0.976	(A) Immunomodulatory
DNAI2	17q25.1	0.34	0.32	0.54	0.36	0.02	0.927	0.976	(A) Immunomodulatory
FIGN	2q24.3	0.42	0.39	0.60	0.42	0.02	0.927	0.976	(A) Immunomodulatory
ZBTB17	1p36.13	0.12	0.12	0.13	0.19	-0.01	0.927	0.976	(B) Mesenchymal
CRKL	22q11.21	0.22	0.24	0.38	0.35	-0.02	0.927	0.976	(B) Mesenchymal
LINC00907	18q12.3	0.40	0.37	0.61	0.53	0.03	0.927	0.976	(A) Immunomodulatory
APOBEC4	1q25.3	0.21	0.19	0.31	0.33	0.02	0.927	0.976	(A) Immunomodulatory
OIP5-AS1	15q15.1	0.25	0.26	0.30	0.37	-0.01	0.927	0.976	(B) Mesenchymal
CASTOR3P	7q22.1	0.22	0.24	0.32	0.32	-0.01	0.927	0.976	(B) Mesenchymal
HNRNPC	14q11.2	0.24	0.25	0.29	0.23	-0.01	0.927	0.976	(B) Mesenchymal
ADAMTSL3	15q25.2	0.45	0.48	0.45	0.68	-0.03	0.927	0.976	(B) Mesenchymal
SNRPN	15q11.2	0.34	0.36	0.40	0.48	-0.02	0.927	0.976	(B) Mesenchymal
SMC1A	Xp11.22	0.42	0.44	0.37	0.58	-0.02	0.927	0.976	(B) Mesenchymal
IGFBP7-AS1	4q12	0.18	0.16	0.30	0.35	0.02	0.927	0.976	(A) Immunomodulatory
MRPS5	2q11.1	0.22	0.23	0.32	0.31	-0.01	0.927	0.976	(B) Mesenchymal
MRAP	21q22.11	0.25	0.27	0.50	0.42	-0.02	0.928	0.976	(B) Mesenchymal
TBCCD1	3q27.3	0.22	0.24	0.31	0.35	-0.01	0.928	0.976	(B) Mesenchymal
IGIP	5q31.3	0.22	0.20	0.36	0.40	0.02	0.928	0.976	(A) Immunomodulatory
EPO	7q22.1	0.71	0.67	0.76	0.66	0.04	0.928	0.976	(A) Immunomodulatory
H3C11	6p22.1	0.53	0.55	0.50	0.53	-0.03	0.928	0.976	(B) Mesenchymal
WEE2	7q34	0.29	0.27	0.57	0.33	0.02	0.928	0.976	(A) Immunomodulatory
ATG4D	19p13.2	0.17	0.19	0.47	0.24	-0.02	0.928	0.976	(B) Mesenchymal
CCDC13	3p22.1	0.17	0.18	0.18	0.34	-0.01	0.928	0.976	(B) Mesenchymal
ENTPD5	14q24.3	0.14	0.15	0.25	0.24	-0.01	0.928	0.976	(B) Mesenchymal
MCM5	22q12.3	0.38	0.40	0.43	0.48	-0.02	0.928	0.976	(B) Mesenchymal
LOXL1	15q24.1	0.35	0.32	0.54	0.43	0.02	0.928	0.976	(A) Immunomodulatory
RIDA	8q22.2	0.56	0.54	0.63	0.55	0.03	0.928	0.976	(A) Immunomodulatory
NKX1-2	10q26.13	0.39	0.43	0.67	0.68	-0.05	0.928	0.976	(B) Mesenchymal
ADAMTS9-AS2	3p14.1	0.40	0.42	0.49	0.58	-0.02	0.928	0.976	(B) Mesenchymal
SSBP1	7q34	0.45	0.47	0.51	0.38	-0.02	0.928	0.976	(B) Mesenchymal
C8ORF48	8p22	0.45	0.48	0.65	0.49	-0.03	0.929	0.976	(B) Mesenchymal
HPDL	1p34.1	0.48	0.51	0.75	0.70	-0.03	0.929	0.976	(B) Mesenchymal
ALKBH3	11p11.2	0.31	0.29	0.29	0.38	0.01	0.929	0.976	(A) Immunomodulatory
CNTN1	12q12	0.26	0.27	0.32	0.48	-0.02	0.929	0.976	(B) Mesenchymal
CDPF1	22q13.31	0.18	0.19	0.18	0.26	-0.01	0.929	0.976	(B) Mesenchymal
REM2	14q11.2	0.46	0.48	0.46	0.50	-0.02	0.929	0.976	(B) Mesenchymal
CFLAR-AS1	2q33.1	0.25	0.28	0.47	0.36	-0.03	0.929	0.976	(B) Mesenchymal
C4BPB	1q32.1	0.67	0.63	1.03	0.74	0.04	0.929	0.976	(A) Immunomodulatory
HAPLN2	1q23.1	0.43	0.47	0.55	0.78	-0.04	0.929	0.976	(B) Mesenchymal
DNAJC10	2q32.1	0.18	0.19	0.21	0.27	-0.01	0.929	0.976	(B) Mesenchymal
GALNS	16q24.3	0.23	0.25	0.32	0.36	-0.01	0.929	0.976	(B) Mesenchymal
NALCN-AS1	13q32.3	0.68	0.63	0.87	0.63	0.04	0.929	0.976	(A) Immunomodulatory
COPB1	11p15.2	0.33	0.31	0.57	0.47	0.02	0.929	0.976	(A) Immunomodulatory
ALG14	1p21.3	0.28	0.30	0.28	0.42	-0.02	0.929	0.976	(B) Mesenchymal
LINC01297	14q11.2	0.56	0.62	0.97	0.64	-0.06	0.929	0.976	(B) Mesenchymal
S100A14	1q21.3	0.51	0.49	0.71	0.56	0.03	0.930	0.976	(A) Immunomodulatory
GSTP1	11q13.2	0.36	0.38	0.45	0.34	-0.02	0.930	0.976	(B) Mesenchymal
SMIM18	8p12	0.59	0.53	0.84	0.12	0.07	0.930	0.976	(A) Immunomodulatory
BCKDHA	19q13.2	0.13	0.15	0.27	0.24	-0.01	0.930	0.976	(B) Mesenchymal
TRIP12	2q36.3	0.17	0.16	0.20	0.25	0.01	0.930	0.976	(A) Immunomodulatory
SHPRH	6q24.3	0.26	0.25	0.34	0.35	0.02	0.930	0.976	(A) Immunomodulatory
SGK2	20q13.12	0.22	0.24	0.39	0.56	-0.02	0.930	0.976	(B) Mesenchymal
LDHD	16q23.1	0.29	0.26	0.42	0.70	0.02	0.930	0.976	(A) Immunomodulatory
RPL24	3q12.3	0.31	0.29	0.45	0.38	0.02	0.930	0.977	(A) Immunomodulatory
NDNF	4q27	0.41	0.39	0.47	0.55	0.02	0.930	0.977	(A) Immunomodulatory
CTDSP1	2q35	0.10	0.10	0.14	0.14	0.01	0.930	0.977	(A) Immunomodulatory
STPG3	9q34.3	0.48	0.52	0.84	0.45	-0.04	0.930	0.977	(B) Mesenchymal
PLEKHM1P1	17q24.1	0.18	0.20	0.35	0.38	-0.02	0.931	0.977	(B) Mesenchymal
PYDC1	16p11.2	0.67	0.72	0.89	1.13	-0.05	0.931	0.977	(B) Mesenchymal
LDAF1	16p12.3	0.15	0.14	0.26	0.36	0.01	0.931	0.977	(A) Immunomodulatory
MRPL11	11q13.2	0.26	0.28	0.35	0.34	-0.01	0.931	0.977	(B) Mesenchymal
PRKAR1A	17q24.2	0.21	0.22	0.25	0.37	-0.01	0.931	0.977	(B) Mesenchymal
TERT	5p15.33	0.56	0.53	0.66	0.78	0.03	0.931	0.977	(A) Immunomodulatory
GID4	17p11.2	0.22	0.21	0.25	0.33	0.01	0.931	0.977	(A) Immunomodulatory
ESCO1	18q11.2	0.22	0.23	0.24	0.31	-0.01	0.931	0.977	(B) Mesenchymal
EIF3K	19q13.2	0.23	0.22	0.31	0.34	0.01	0.931	0.977	(A) Immunomodulatory
HTR1D	1p36.12	0.20	0.18	0.37	0.51	0.02	0.931	0.977	(A) Immunomodulatory
DCAF16	4p15.31	0.19	0.21	0.37	0.29	-0.01	0.931	0.977	(B) Mesenchymal
LINC01446	7p12.1	0.64	0.57	1.00	0.99	0.07	0.931	0.977	(A) Immunomodulatory
ADI1	2p25.3	0.35	0.33	0.51	0.39	0.02	0.931	0.977	(A) Immunomodulatory
POU5F2	5q15	0.55	0.52	0.52	0.73	0.03	0.931	0.977	(A) Immunomodulatory
LINC00824	8q24.21	0.46	0.43	0.50	0.67	0.03	0.932	0.977	(A) Immunomodulatory
TUBA3FP	22q11.21	0.39	0.42	0.60	0.59	-0.03	0.932	0.977	(B) Mesenchymal
TFDP1	13q34	0.44	0.41	0.46	0.70	0.02	0.932	0.977	(A) Immunomodulatory
DYNLT5	1p31.3	0.35	0.37	0.38	0.48	-0.02	0.932	0.977	(B) Mesenchymal
SRSF4	1p35.3	0.24	0.26	0.26	0.52	-0.02	0.932	0.977	(B) Mesenchymal
BLVRB	19q13.2	0.12	0.11	0.23	0.22	0.01	0.932	0.977	(A) Immunomodulatory
TLK1	2q31.1	0.14	0.15	0.16	0.22	-0.01	0.932	0.977	(B) Mesenchymal
WSCD1	17p13.2	0.36	0.38	0.41	0.54	-0.02	0.932	0.977	(B) Mesenchymal
DEDD2	19q13.2	0.15	0.16	0.27	0.28	-0.01	0.932	0.977	(B) Mesenchymal
HOXD11	2q31.1	0.58	0.55	0.59	0.64	0.03	0.932	0.977	(A) Immunomodulatory
C12ORF56	12q14.2	0.22	0.24	0.31	0.38	-0.03	0.932	0.977	(B) Mesenchymal
ZNF775	7q36.1	0.18	0.20	0.26	0.35	-0.01	0.932	0.977	(B) Mesenchymal
ADGRB2	1p35.2	0.39	0.36	0.54	0.67	0.03	0.932	0.977	(A) Immunomodulatory
EIF5B	2q11.2	0.44	0.42	0.49	0.37	0.02	0.932	0.977	(A) Immunomodulatory
CCDC13-AS2	3p22.1	0.32	0.36	0.56	0.55	-0.04	0.932	0.977	(B) Mesenchymal
ANKRD20A4P	9q13	0.44	0.47	0.62	0.62	-0.03	0.932	0.977	(B) Mesenchymal
CTXN1	19p13.2	0.46	0.43	0.59	0.43	0.02	0.932	0.977	(A) Immunomodulatory
C22ORF39	22q11.21	0.13	0.14	0.18	0.21	-0.01	0.932	0.977	(B) Mesenchymal
TTC36	11q23.3	0.39	0.41	0.55	0.52	-0.02	0.932	0.977	(B) Mesenchymal
CERS4	19p13.2	0.31	0.29	0.41	0.45	0.02	0.932	0.977	(A) Immunomodulatory
IGSF22	11p15.1	0.21	0.20	0.22	0.37	0.01	0.932	0.977	(A) Immunomodulatory
SYNJ1	21q22.11	0.15	0.16	0.24	0.26	-0.01	0.932	0.977	(B) Mesenchymal
TMEM205	19p13.2	0.18	0.19	0.27	0.32	-0.01	0.933	0.977	(B) Mesenchymal
FAM161A	2p15	0.22	0.23	0.47	0.37	-0.02	0.933	0.977	(B) Mesenchymal
COMMD10	5q23.1	0.27	0.29	0.29	0.44	-0.02	0.933	0.977	(B) Mesenchymal
N4BP2	4p14	0.26	0.25	0.31	0.41	0.02	0.933	0.977	(A) Immunomodulatory
CFAP141	1q21.3	0.22	0.21	0.35	0.24	0.02	0.933	0.977	(A) Immunomodulatory
TMEM164	Xq23	0.22	0.23	0.26	0.30	-0.01	0.933	0.977	(B) Mesenchymal
ACRBP	12p13.31	0.24	0.26	0.42	0.58	-0.02	0.933	0.977	(B) Mesenchymal
LINC00965	8p23.1	0.41	0.43	0.48	0.58	-0.02	0.933	0.977	(B) Mesenchymal
CCDC22	Xp11.23	0.21	0.20	0.21	0.35	0.01	0.933	0.977	(A) Immunomodulatory
SMNDC1	10q25.2	0.19	0.17	0.31	0.18	0.01	0.933	0.977	(A) Immunomodulatory
EEF2K	16p12.2	0.10	0.11	0.13	0.16	-0.01	0.933	0.977	(B) Mesenchymal
CCDC3	10p13	0.53	0.50	0.36	0.82	0.03	0.933	0.977	(A) Immunomodulatory
TPP2	13q33.1	0.22	0.20	0.27	0.41	0.01	0.933	0.977	(A) Immunomodulatory
PRR36	19p13.2	0.43	0.45	0.60	0.76	-0.03	0.933	0.977	(B) Mesenchymal
ACVRL1	12q13.13	0.25	0.23	0.35	0.32	0.01	0.933	0.977	(A) Immunomodulatory
ITGA11	15q23	0.28	0.26	0.53	0.49	0.02	0.933	0.977	(A) Immunomodulatory
AP3M1	10q22.2	0.20	0.19	0.29	0.32	0.01	0.933	0.977	(A) Immunomodulatory
RAD51AP2	2p24.2	0.41	0.38	0.76	0.68	0.03	0.933	0.977	(A) Immunomodulatory
CLDN1	3q28	0.57	0.54	0.83	0.89	0.04	0.933	0.977	(A) Immunomodulatory
VRK3	19q13.33	0.16	0.15	0.17	0.26	0.01	0.934	0.977	(A) Immunomodulatory
EIF2AK4	15q15.1	0.19	0.18	0.22	0.28	0.01	0.934	0.977	(A) Immunomodulatory
EXOC1	4q12	0.18	0.17	0.26	0.27	0.01	0.934	0.977	(A) Immunomodulatory
ETFBKMT	12p11.21	0.17	0.18	0.26	0.29	-0.01	0.934	0.977	(B) Mesenchymal
TINCR	19p13.3	0.69	0.73	0.66	0.88	-0.03	0.934	0.977	(B) Mesenchymal
GSC-DT	14q32.13	0.47	0.44	0.65	0.53	0.03	0.934	0.977	(A) Immunomodulatory
MRPS21	1q21.2	0.43	0.45	0.41	0.23	-0.01	0.934	0.977	(B) Mesenchymal
PDCL	9q33.2	0.15	0.16	0.32	0.30	-0.01	0.934	0.977	(B) Mesenchymal
AKT3	1q43-q44	0.14	0.16	0.38	0.45	-0.02	0.934	0.977	(B) Mesenchymal
CALCOCO1	12q13.13	0.22	0.21	0.25	0.33	0.01	0.934	0.977	(A) Immunomodulatory
LINC00852	3p25.3	0.32	0.31	0.45	0.41	0.02	0.934	0.977	(A) Immunomodulatory
MTCL3	6q22.33	0.38	0.40	0.39	0.54	-0.02	0.934	0.977	(B) Mesenchymal
MANSC4	12p11.22	0.19	0.21	0.35	0.33	-0.02	0.934	0.977	(B) Mesenchymal
TXLNB	6q24.1	0.22	0.23	0.32	0.40	-0.01	0.935	0.977	(B) Mesenchymal
RBL1	20q11.23	0.39	0.41	0.50	0.41	-0.02	0.935	0.977	(B) Mesenchymal
CCAT1	8q24.21	0.72	0.68	0.63	0.86	0.04	0.935	0.977	(A) Immunomodulatory
PSMD3	17q21.1	0.31	0.29	0.44	0.37	0.02	0.935	0.977	(A) Immunomodulatory
SLC25A40	7q21.12	0.18	0.17	0.31	0.29	0.01	0.935	0.977	(A) Immunomodulatory
TEAD4	12p13.33	0.31	0.33	0.40	0.53	-0.02	0.935	0.977	(B) Mesenchymal
YME1L1	10p12.1	0.25	0.24	0.32	0.25	0.01	0.935	0.977	(A) Immunomodulatory
ZNF451	6p12.1	0.17	0.18	0.24	0.28	-0.01	0.935	0.977	(B) Mesenchymal
SH3GL1P1	17q11.2	0.27	0.28	0.37	0.47	-0.02	0.935	0.977	(B) Mesenchymal
SERPINB8	18q22.1	0.34	0.33	0.31	0.53	0.02	0.935	0.978	(A) Immunomodulatory
PRPH2	6p21.1	0.15	0.14	0.24	0.31	0.01	0.935	0.978	(A) Immunomodulatory
RPL37	5p13.1	0.33	0.35	0.32	0.60	-0.02	0.935	0.978	(B) Mesenchymal
VDAC1	5q31.1	0.20	0.22	0.37	0.33	-0.01	0.935	0.978	(B) Mesenchymal
SPATA12	3p14.3	0.27	0.28	0.32	0.39	-0.01	0.936	0.978	(B) Mesenchymal
LYPLA2	1p36.11	0.15	0.14	0.25	0.24	0.01	0.936	0.978	(A) Immunomodulatory
TWIST1	7p21.1	0.17	0.16	0.33	0.42	0.01	0.936	0.978	(A) Immunomodulatory
RETREG3	17q21.2	0.17	0.18	0.20	0.32	-0.01	0.936	0.978	(B) Mesenchymal
CTTNBP2	7q31.31	0.25	0.23	0.37	0.47	0.02	0.936	0.978	(A) Immunomodulatory
JPX	Xq13.2	0.15	0.16	0.23	0.24	-0.01	0.936	0.978	(B) Mesenchymal
PRPF40A	2q23.3	0.23	0.24	0.27	0.22	-0.01	0.936	0.978	(B) Mesenchymal
C1QTNF3	5p13.2	0.29	0.27	0.36	0.48	0.02	0.936	0.978	(A) Immunomodulatory
