Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
SNED1	2q37.3	7.57	9.45	1.09	0.86	-1.87	1.55e-16	1.31e-14	(B) BRCA_Normal
BORA	13q21.33	8.11	7.10	0.73	0.47	1.02	1.55e-16	1.31e-14	(A) BRCA_Basal
PSMB2	1p34.3	11.61	10.86	0.52	0.35	0.75	1.62e-16	1.36e-14	(A) BRCA_Basal
FBXO5	6q25.2	8.44	7.34	0.80	0.51	1.10	1.66e-16	1.39e-14	(A) BRCA_Basal
RUVBL1	3q21.3	10.66	9.78	0.60	0.41	0.88	1.73e-16	1.44e-14	(A) BRCA_Basal
FLAD1	1q21.3	10.77	9.69	0.74	0.50	1.08	1.73e-16	1.44e-14	(A) BRCA_Basal
NTN4	12q22	8.70	11.25	1.52	1.18	-2.55	1.80e-16	1.49e-14	(B) BRCA_Normal
TAL1	1p33	4.91	6.50	1.22	0.73	-1.58	1.88e-16	1.55e-14	(B) BRCA_Normal
PROS1	3q11.1	8.48	10.04	1.29	0.72	-1.56	1.91e-16	1.56e-14	(B) BRCA_Normal
PSMD2	3q27.1	12.64	11.92	0.51	0.33	0.71	1.91e-16	1.56e-14	(A) BRCA_Basal
ERBB4	2q34	3.56	7.90	2.23	1.99	-4.34	1.94e-16	1.58e-14	(B) BRCA_Normal
CIP2A	3q13.13	8.54	6.79	0.75	0.79	1.75	2.13e-16	1.73e-14	(A) BRCA_Basal
LINC02381	12q13.13	6.42	7.86	0.99	0.67	-1.44	2.26e-16	1.82e-14	(B) BRCA_Normal
CHL1	3p26.3	5.43	7.94	2.18	1.14	-2.51	2.30e-16	1.84e-14	(B) BRCA_Normal
EMCN	4q24	7.16	9.15	1.19	0.93	-1.99	2.30e-16	1.84e-14	(B) BRCA_Normal
PIK3IP1	22q12.2	9.01	10.16	0.86	0.54	-1.15	2.31e-16	1.84e-14	(B) BRCA_Normal
BMERB1	16p13.11	6.47	8.64	1.06	1.00	-2.17	2.36e-16	1.87e-14	(B) BRCA_Normal
RTL5	Xq13.1	6.47	8.13	1.15	0.78	-1.67	2.36e-16	1.87e-14	(B) BRCA_Normal
SPG11	15q21.1	9.89	10.74	0.61	0.40	-0.85	2.51e-16	1.98e-14	(B) BRCA_Normal
GIPC2	1p31.1	3.81	6.02	1.54	1.04	-2.22	2.53e-16	1.99e-14	(B) BRCA_Normal
UBXN10	1p36.12	4.83	7.22	1.62	1.12	-2.39	2.54e-16	1.99e-14	(B) BRCA_Normal
CDC25A	3p21.31	8.48	6.24	0.82	1.01	2.24	2.92e-16	2.27e-14	(A) BRCA_Basal
RBM28	7q32.1	9.44	8.63	0.52	0.38	0.81	2.96e-16	2.29e-14	(A) BRCA_Basal
TNS1	2q35	10.84	12.29	0.95	0.68	-1.45	2.96e-16	2.29e-14	(B) BRCA_Normal
LRP10	14q11.2	11.37	12.25	0.76	0.40	-0.87	3.13e-16	2.41e-14	(B) BRCA_Normal
SMG7	1q25.3	11.57	10.99	0.42	0.27	0.58	3.53e-16	2.70e-14	(A) BRCA_Basal
CCT3	1q22	13.56	12.63	0.53	0.44	0.93	3.70e-16	2.83e-14	(A) BRCA_Basal
APH1B	15q22.2	7.62	8.80	0.73	0.56	-1.18	3.73e-16	2.83e-14	(B) BRCA_Normal
GTF3C2	2p23.3	10.95	10.38	0.51	0.26	0.57	3.76e-16	2.85e-14	(A) BRCA_Basal
LIN7A	12q21.31	2.49	5.13	1.42	1.24	-2.64	3.82e-16	2.88e-14	(B) BRCA_Normal
DGLUCY	14q32.11	8.51	9.52	0.85	0.47	-1.01	3.83e-16	2.88e-14	(B) BRCA_Normal
ZBTB4	17p13.1	10.44	11.23	0.48	0.37	-0.79	3.88e-16	2.91e-14	(B) BRCA_Normal
PNPT1	2p16.1	10.02	9.23	0.60	0.37	0.79	4.02e-16	3.00e-14	(A) BRCA_Basal
TFAP2B	6p12.3	4.54	9.43	2.96	2.31	-4.89	4.20e-16	3.12e-14	(B) BRCA_Normal
ABCA6	17q24.2-q24.3	4.94	7.40	1.76	1.17	-2.46	4.23e-16	3.13e-14	(B) BRCA_Normal
RPH3AL	17p13.3	5.61	7.37	1.10	0.83	-1.76	4.69e-16	3.45e-14	(B) BRCA_Normal
GPR19	12p13.1	5.87	3.93	1.18	0.92	1.94	4.70e-16	3.45e-14	(A) BRCA_Basal
FMOD	1q32.1	9.82	11.58	1.65	0.80	-1.76	4.84e-16	3.55e-14	(B) BRCA_Normal
RRP1B	21q22.3	10.82	10.03	0.56	0.38	0.79	4.88e-16	3.56e-14	(A) BRCA_Basal
PTGER3	1p31.1	6.39	8.81	1.62	1.15	-2.42	5.07e-16	3.69e-14	(B) BRCA_Normal
TTK	6q14.1	9.43	6.83	0.81	1.17	2.60	5.57e-16	4.04e-14	(A) BRCA_Basal
HASPIN	17p13.2	6.89	4.99	0.75	0.88	1.91	5.63e-16	4.07e-14	(A) BRCA_Basal
DKK3	11p15.3	9.06	10.92	1.17	0.89	-1.87	5.76e-16	4.13e-14	(B) BRCA_Normal
CEBPG	19q13.11	10.85	10.08	0.63	0.36	0.77	5.76e-16	4.13e-14	(A) BRCA_Basal
TGFB1I1	16p11.2	8.41	9.83	1.14	0.68	-1.42	6.05e-16	4.32e-14	(B) BRCA_Normal
NRIP2	12p13.33	5.36	6.85	0.92	0.71	-1.49	6.59e-16	4.69e-14	(B) BRCA_Normal
AHNAK	11q12.3	13.71	15.15	1.03	0.69	-1.44	6.62e-16	4.70e-14	(B) BRCA_Normal
DDIAS	11q14.1	8.13	6.55	0.86	0.75	1.58	6.79e-16	4.80e-14	(A) BRCA_Basal
ERG	21q22.2	7.37	9.05	1.05	0.80	-1.68	6.82e-16	4.80e-14	(B) BRCA_Normal
SIDT1	3q13.2	5.87	8.73	1.65	1.36	-2.85	6.85e-16	4.81e-14	(B) BRCA_Normal
LRRC70	5q12.1	4.34	6.15	0.93	0.86	-1.81	6.87e-16	4.81e-14	(B) BRCA_Normal
RPIA	2p11.2	9.47	8.73	0.54	0.35	0.73	7.16e-16	4.98e-14	(A) BRCA_Basal
FRY	13q13.1	7.84	9.35	1.11	0.73	-1.52	7.17e-16	4.98e-14	(B) BRCA_Normal
TCEAL7	Xq22.2	3.81	6.03	1.13	1.05	-2.22	7.52e-16	5.20e-14	(B) BRCA_Normal
LTAP1	1q21.3	12.72	12.09	0.46	0.30	0.63	7.63e-16	5.26e-14	(A) BRCA_Basal
APH1A	1q21.2	12.86	12.24	0.54	0.29	0.62	7.80e-16	5.36e-14	(A) BRCA_Basal
GNA14	9q21.2	4.33	6.48	1.14	1.02	-2.15	7.91e-16	5.42e-14	(B) BRCA_Normal
FAM13C	10q21.1	5.30	7.11	1.36	0.87	-1.81	9.18e-16	6.25e-14	(B) BRCA_Normal
SVEP1	9q31.3	7.06	9.51	1.73	1.18	-2.45	9.20e-16	6.25e-14	(B) BRCA_Normal
MMRN1	4q22.1	4.31	7.69	2.11	1.63	-3.39	9.24e-16	6.26e-14	(B) BRCA_Normal
MCM4	8q11.21	11.76	10.28	0.84	0.71	1.48	1.04e-15	7.02e-14	(A) BRCA_Basal
TNFSF12	17p13.1	8.37	9.38	0.81	0.48	-1.01	1.08e-15	7.30e-14	(B) BRCA_Normal
CACYBP	1q25.1	11.33	10.31	0.59	0.49	1.02	1.11e-15	7.45e-14	(A) BRCA_Basal
SKP2	5p13.2	8.42	6.97	0.99	0.70	1.45	1.11e-15	7.45e-14	(A) BRCA_Basal
EZH2	7q36.1	9.72	8.12	0.79	0.76	1.59	1.12e-15	7.47e-14	(A) BRCA_Basal
TTLL4	2q35	10.47	9.14	0.87	0.64	1.33	1.12e-15	7.47e-14	(A) BRCA_Basal
DEDD	1q23.3	10.41	9.82	0.50	0.28	0.59	1.14e-15	7.57e-14	(A) BRCA_Basal
FOXC1	6p25.3	10.89	8.92	1.19	0.95	1.97	1.19e-15	7.88e-14	(A) BRCA_Basal
SLC7A8	14q11.2	8.47	10.88	1.10	1.15	-2.41	1.20e-15	7.91e-14	(B) BRCA_Normal
C7	5p13.1	5.08	9.31	3.19	2.05	-4.23	1.23e-15	8.09e-14	(B) BRCA_Normal
CYB5D2	17p13.2	7.66	8.68	0.75	0.49	-1.02	1.26e-15	8.20e-14	(B) BRCA_Normal
ABAT	16p13.2	6.77	8.82	1.17	0.99	-2.05	1.26e-15	8.20e-14	(B) BRCA_Normal
TFDP1	13q34	11.50	10.62	0.88	0.41	0.89	1.26e-15	8.20e-14	(A) BRCA_Basal
XBP1	22q12.1	12.24	14.30	0.91	0.98	-2.06	1.32e-15	8.55e-14	(B) BRCA_Normal
FH	1q43	11.18	10.49	0.62	0.33	0.69	1.33e-15	8.60e-14	(A) BRCA_Basal
MSTO1	1q22	9.98	9.33	0.62	0.30	0.65	1.36e-15	8.77e-14	(A) BRCA_Basal
TMTC1	12p11.22	7.55	9.52	1.68	0.94	-1.96	1.48e-15	9.46e-14	(B) BRCA_Normal
ATP1B2	17p13.1	4.52	6.34	1.52	0.88	-1.82	1.49e-15	9.54e-14	(B) BRCA_Normal
CTDSP1	2q35	10.80	11.58	0.56	0.38	-0.79	1.55e-15	9.88e-14	(B) BRCA_Normal
CAD	2p23.3	11.04	10.28	0.67	0.37	0.76	1.59e-15	1.01e-13	(A) BRCA_Basal
SEMA6D	15q21.1	5.54	7.96	1.45	1.18	-2.42	1.60e-15	1.01e-13	(B) BRCA_Normal
ABCC11	16q12.1	2.77	8.74	2.27	2.82	-5.97	1.61e-15	1.01e-13	(B) BRCA_Normal
SMC4	3q25.33	11.52	10.17	0.73	0.65	1.34	1.65e-15	1.04e-13	(A) BRCA_Basal
KL	13q13.1	3.89	5.98	1.28	1.03	-2.10	1.69e-15	1.06e-13	(B) BRCA_Normal
SETDB1	1q21.3	10.56	9.93	0.56	0.30	0.63	1.75e-15	1.10e-13	(A) BRCA_Basal
LIN9	1q42.12	8.51	7.04	0.73	0.71	1.47	1.77e-15	1.10e-13	(A) BRCA_Basal
IPO9	1q32.1	11.49	10.83	0.50	0.32	0.66	1.80e-15	1.11e-13	(A) BRCA_Basal
PLAC9	10q22.3	4.46	7.13	1.70	1.31	-2.67	1.81e-15	1.12e-13	(B) BRCA_Normal
TMBIM4	12q14.3	9.61	10.51	0.58	0.44	-0.91	1.82e-15	1.12e-13	(B) BRCA_Normal
MTCH1	6p21.2	12.31	11.70	0.60	0.29	0.61	1.85e-15	1.14e-13	(A) BRCA_Basal
BMP4	14q22.2	5.42	7.69	1.55	1.11	-2.27	1.89e-15	1.16e-13	(B) BRCA_Normal
ABCA8	17q24.2	3.95	7.58	2.48	1.78	-3.63	1.91e-15	1.16e-13	(B) BRCA_Normal
ZNF385D	3p24.3	3.93	5.89	1.60	0.95	-1.95	1.91e-15	1.16e-13	(B) BRCA_Normal
ABCG2	4q22.1	4.55	6.91	1.32	1.16	-2.37	2.04e-15	1.24e-13	(B) BRCA_Normal
AFAP1L2	10q25.3	7.89	9.27	1.13	0.67	-1.38	2.05e-15	1.24e-13	(B) BRCA_Normal
PPP1R3C	10q23.32	5.73	7.99	1.76	1.11	-2.26	2.06e-15	1.24e-13	(B) BRCA_Normal
CIRBP	19p13.3	11.09	12.46	0.65	0.66	-1.37	2.12e-15	1.28e-13	(B) BRCA_Normal
POLR3G	5q14.3	6.88	5.74	1.08	0.54	1.13	2.21e-15	1.33e-13	(A) BRCA_Basal
MIR100HG	11q24.1	6.92	8.82	1.46	0.93	-1.90	2.22e-15	1.33e-13	(B) BRCA_Normal
ARSG	17q24.2	5.73	7.40	1.12	0.82	-1.67	2.27e-15	1.35e-13	(B) BRCA_Normal
FOXM1	12p13.33	11.30	8.65	0.99	1.26	2.65	2.31e-15	1.38e-13	(A) BRCA_Basal
ISM1	20p12.1	6.81	8.88	1.75	1.01	-2.08	2.35e-15	1.39e-13	(B) BRCA_Normal
MAB21L1	13q13.3	2.88	5.52	1.47	1.30	-2.65	2.35e-15	1.39e-13	(B) BRCA_Normal
ARHGEF40	14q11.2	9.20	10.32	0.83	0.55	-1.12	2.43e-15	1.43e-13	(B) BRCA_Normal
CCT4	2p15	12.47	11.83	0.47	0.32	0.64	2.45e-15	1.44e-13	(A) BRCA_Basal
SLC4A1AP	2p23.3	9.72	9.26	0.43	0.22	0.47	2.51e-15	1.47e-13	(A) BRCA_Basal
LCMT2	15q15.3	7.66	8.39	0.48	0.36	-0.73	2.53e-15	1.48e-13	(B) BRCA_Normal
ARL15	5q11.2	7.24	8.60	0.94	0.67	-1.36	2.57e-15	1.50e-13	(B) BRCA_Normal
DLG2	11q14.1	3.78	6.06	1.53	1.13	-2.29	2.61e-15	1.52e-13	(B) BRCA_Normal
CEP112	17q24.1	6.14	7.52	1.08	0.68	-1.38	2.74e-15	1.59e-13	(B) BRCA_Normal
YARS1	1p35.1	11.48	10.86	0.54	0.30	0.63	2.76e-15	1.60e-13	(A) BRCA_Basal
KPNA2	17q24.2	12.29	10.69	0.63	0.77	1.59	2.77e-15	1.60e-13	(A) BRCA_Basal
DONSON	21q22.11	9.02	7.78	0.72	0.61	1.24	2.78e-15	1.60e-13	(A) BRCA_Basal
INMT	7p14.3	4.72	7.29	1.50	1.27	-2.57	2.88e-15	1.65e-13	(B) BRCA_Normal
TBC1D22B	6p21.2	9.30	8.73	0.49	0.28	0.57	2.97e-15	1.70e-13	(A) BRCA_Basal
TSPAN7	Xp11.4	6.85	9.06	1.55	1.10	-2.21	2.98e-15	1.70e-13	(B) BRCA_Normal
GLT8D2	12q23.3	7.52	9.16	1.19	0.82	-1.64	3.07e-15	1.74e-13	(B) BRCA_Normal
PTPRB	12q15	7.91	9.79	1.15	0.93	-1.87	3.07e-15	1.74e-13	(B) BRCA_Normal
CENPL	1q25.1	8.45	7.08	0.58	0.67	1.37	3.13e-15	1.77e-13	(A) BRCA_Basal
INTS7	1q32.3	9.93	9.00	0.61	0.46	0.93	3.17e-15	1.79e-13	(A) BRCA_Basal
ZNF175	19q13.41	6.23	7.39	1.13	0.55	-1.16	3.19e-15	1.79e-13	(B) BRCA_Normal
TSPAN1	1p34.1	5.79	9.21	1.90	1.69	-3.42	3.23e-15	1.81e-13	(B) BRCA_Normal
MTARC2	1q41	6.72	7.93	1.19	0.57	-1.21	3.25e-15	1.82e-13	(B) BRCA_Normal
C5ORF34	5p12	6.86	5.74	0.81	0.56	1.12	3.29e-15	1.82e-13	(A) BRCA_Basal
SLCO2A1	3q22.1-q22.2	8.09	9.84	1.44	0.86	-1.75	3.29e-15	1.82e-13	(B) BRCA_Normal
CXORF49B	Xq13.1	4.08	1.24	3.15	1.26	2.83	3.29e-15	1.82e-13	(A) BRCA_Basal
CLEC1A	12p13.2	5.34	6.62	1.09	0.63	-1.28	3.39e-15	1.87e-13	(B) BRCA_Normal
CYTL1	4p16.2	3.32	5.67	1.54	1.17	-2.35	3.41e-15	1.88e-13	(B) BRCA_Normal
CAV1	7q31.2	10.06	11.65	1.21	0.79	-1.59	3.48e-15	1.91e-13	(B) BRCA_Normal
CCDC8	19q13.32	7.32	9.41	1.99	1.00	-2.09	3.53e-15	1.93e-13	(B) BRCA_Normal
ISCU	12q23.3	9.94	10.57	0.47	0.31	-0.63	3.55e-15	1.94e-13	(B) BRCA_Normal
BMX	Xp22.2	2.63	5.43	1.68	1.39	-2.80	3.77e-15	2.05e-13	(B) BRCA_Normal
IGSF22	11p15.1	2.53	4.01	1.08	0.74	-1.48	3.80e-15	2.07e-13	(B) BRCA_Normal
TMEM132C	12q24.32	2.35	5.82	2.17	1.73	-3.47	3.86e-15	2.09e-13	(B) BRCA_Normal
CDKAL1	6p22.3	8.95	8.18	0.85	0.34	0.76	3.89e-15	2.10e-13	(A) BRCA_Basal
TRMT9B	8p22	4.87	7.36	1.81	1.25	-2.50	3.94e-15	2.12e-13	(B) BRCA_Normal
ARHGAP6	Xp22.2	4.82	6.56	1.06	0.87	-1.74	3.99e-15	2.15e-13	(B) BRCA_Normal
UMPS	3q21.2	9.86	9.23	0.48	0.31	0.63	4.08e-15	2.18e-13	(A) BRCA_Basal
ROBO4	11q24.2	8.12	9.38	0.86	0.63	-1.26	4.25e-15	2.27e-13	(B) BRCA_Normal
TBCE	1q42.3	9.23	8.44	0.66	0.40	0.80	4.31e-15	2.29e-13	(A) BRCA_Basal
PRCC	1q23.1	11.27	10.56	0.52	0.35	0.70	4.35e-15	2.31e-13	(A) BRCA_Basal
SF3B3	16q22.1	12.41	11.69	0.53	0.36	0.72	4.36e-15	2.31e-13	(A) BRCA_Basal
SEMA5A	5p15.31	8.14	10.27	1.41	1.07	-2.13	4.39e-15	2.32e-13	(B) BRCA_Normal
CXCL12	10q11.21	10.16	11.87	1.25	0.86	-1.71	4.42e-15	2.33e-13	(B) BRCA_Normal
MEG3	14q32.2	4.69	7.16	1.75	1.24	-2.47	4.43e-15	2.33e-13	(B) BRCA_Normal
TSHZ1	18q22.3	8.78	9.54	0.77	0.36	-0.76	4.48e-15	2.35e-13	(B) BRCA_Normal
HSPB6	19q13.12	6.60	9.14	1.78	1.28	-2.55	4.54e-15	2.38e-13	(B) BRCA_Normal
PDGFD	11q22.3	7.37	9.33	1.04	0.98	-1.96	4.64e-15	2.42e-13	(B) BRCA_Normal
NRXN2	11q13.1	5.24	7.31	1.51	1.04	-2.07	4.84e-15	2.52e-13	(B) BRCA_Normal
LRRC17	7q22.1	5.37	7.79	1.75	1.22	-2.42	4.86e-15	2.52e-13	(B) BRCA_Normal
TCEAL1	Xq22.2	7.49	8.66	0.56	0.58	-1.17	5.09e-15	2.64e-13	(B) BRCA_Normal
PTDSS1	8q22.1	11.62	10.90	0.58	0.36	0.72	5.49e-15	2.84e-13	(A) BRCA_Basal
FANCA	16q24.3	9.14	7.11	0.84	1.00	2.03	5.51e-15	2.84e-13	(A) BRCA_Basal
AOX1	2q33.1	5.86	7.92	1.87	1.02	-2.07	5.54e-15	2.84e-13	(B) BRCA_Normal
PEAR1	1q23.1	5.96	8.00	1.11	1.02	-2.04	5.72e-15	2.93e-13	(B) BRCA_Normal
ANKRD27	19q13.11	10.29	9.55	0.75	0.35	0.74	5.91e-15	3.02e-13	(A) BRCA_Basal
FAM241A	4q25	7.65	9.27	1.14	0.82	-1.62	6.17e-15	3.14e-13	(B) BRCA_Normal
EXO1	1q43	9.09	6.55	0.83	1.23	2.54	6.21e-15	3.16e-13	(A) BRCA_Basal
MTFR2	6q23.3	7.28	5.02	0.79	1.10	2.26	6.24e-15	3.16e-13	(A) BRCA_Basal
SANBR	2p15	8.56	7.62	0.70	0.48	0.95	6.25e-15	3.16e-13	(A) BRCA_Basal
ZBTB16	11q23.2	1.95	6.12	1.57	2.04	-4.17	6.33e-15	3.19e-13	(B) BRCA_Normal
ATOSA	15q21.2-q21.3	8.63	10.07	0.70	0.72	-1.44	6.52e-15	3.28e-13	(B) BRCA_Normal
CFI	4q25	7.91	9.62	1.51	0.85	-1.72	6.61e-15	3.32e-13	(B) BRCA_Normal
PIMREG	17p13.2	8.32	5.69	0.83	1.28	2.63	6.65e-15	3.32e-13	(A) BRCA_Basal
ACTA2	10q23.31	12.22	13.93	1.43	0.86	-1.71	6.65e-15	3.32e-13	(B) BRCA_Normal
DBF4	7q21.12	8.91	7.72	0.59	0.60	1.19	7.00e-15	3.49e-13	(A) BRCA_Basal
PATL1	11q12.1	10.74	10.10	0.62	0.31	0.64	7.01e-15	3.49e-13	(A) BRCA_Basal
CRY2	11p11.2	9.09	10.10	0.55	0.51	-1.01	7.20e-15	3.57e-13	(B) BRCA_Normal
GNG11	7q21.3	8.15	9.70	0.96	0.78	-1.54	7.35e-15	3.63e-13	(B) BRCA_Normal
YEATS2	3q27.1	10.81	9.93	0.58	0.45	0.88	7.40e-15	3.65e-13	(A) BRCA_Basal
SFT2D2	1q24.2	7.83	6.36	0.75	0.74	1.47	7.43e-15	3.65e-13	(A) BRCA_Basal
ART3	4q21.1	6.77	2.73	3.14	2.04	4.04	7.46e-15	3.66e-13	(A) BRCA_Basal
DDN	12q13.12	4.50	2.38	1.71	1.07	2.12	7.58e-15	3.71e-13	(A) BRCA_Basal
TMEM88	17p13.1	4.11	5.81	1.07	0.86	-1.70	7.69e-15	3.76e-13	(B) BRCA_Normal
REEP6	19p13.3	6.26	9.73	2.04	1.76	-3.48	8.07e-15	3.93e-13	(B) BRCA_Normal
C9ORF152	9q31.3	5.00	8.23	2.23	1.64	-3.23	8.24e-15	3.99e-13	(B) BRCA_Normal
AGR2	7p21.1	5.57	10.94	2.85	2.71	-5.37	8.25e-15	3.99e-13	(B) BRCA_Normal
PUS7	7q22.3	9.66	8.65	0.70	0.52	1.01	8.26e-15	3.99e-13	(A) BRCA_Basal
STEAP4	7q21.12	7.83	10.35	1.90	1.28	-2.52	8.32e-15	4.01e-13	(B) BRCA_Normal
SERBP1	1p31.3	13.21	12.66	0.49	0.28	0.55	8.32e-15	4.01e-13	(A) BRCA_Basal
DIAPH3	13q21.2	8.47	6.38	0.96	1.05	2.09	8.39e-15	4.03e-13	(A) BRCA_Basal
NAV3	12q21.2	4.82	6.90	1.54	1.06	-2.08	8.44e-15	4.04e-13	(B) BRCA_Normal
XRCC2	7q36.1	7.04	5.32	1.02	0.87	1.72	8.64e-15	4.13e-13	(A) BRCA_Basal
CLEC14A	14q21.1	7.79	9.38	0.94	0.81	-1.59	8.66e-15	4.13e-13	(B) BRCA_Normal
TCAM1P	17q23.3	4.98	2.06	2.51	1.46	2.92	8.67e-15	4.13e-13	(A) BRCA_Basal
ITM2A	Xq21.1	7.57	10.09	1.57	1.29	-2.53	8.84e-15	4.19e-13	(B) BRCA_Normal
CDCA8	1p34.3	10.05	7.75	0.72	1.12	2.30	9.14e-15	4.33e-13	(A) BRCA_Basal
SCN4A	17q23.3	3.51	5.59	1.50	1.07	-2.09	9.47e-15	4.47e-13	(B) BRCA_Normal
ISG20L2	1q23.1	10.36	9.64	0.57	0.37	0.73	9.52e-15	4.49e-13	(A) BRCA_Basal
WDR86	7q36.1	4.36	6.55	1.57	1.12	-2.19	9.95e-15	4.68e-13	(B) BRCA_Normal
STN1	10q24.33	8.60	9.25	0.54	0.33	-0.65	1.02e-14	4.81e-13	(B) BRCA_Normal
DHTKD1	10p14	10.94	9.81	0.94	0.57	1.13	1.03e-14	4.83e-13	(A) BRCA_Basal
PNPLA7	9q34.3	6.03	7.97	1.42	0.99	-1.93	1.04e-14	4.83e-13	(B) BRCA_Normal
ABCA10	17q24.3	2.95	5.53	1.47	1.32	-2.58	1.06e-14	4.92e-13	(B) BRCA_Normal
CRTC2	1q21.3	10.57	9.97	0.54	0.30	0.60	1.06e-14	4.93e-13	(A) BRCA_Basal
AK5	1p31.1	5.12	8.67	2.21	1.82	-3.55	1.09e-14	5.04e-13	(B) BRCA_Normal
NAT10	11p13	10.99	10.28	0.64	0.36	0.72	1.10e-14	5.10e-13	(A) BRCA_Basal
FBXL5	4p15.32	10.35	11.15	0.54	0.41	-0.80	1.11e-14	5.10e-13	(B) BRCA_Normal
KCNV1	8q23.2	1.54	0.28	1.70	0.46	1.26	1.11e-14	5.10e-13	(A) BRCA_Basal
STK32B	4p16.2	4.33	6.99	1.37	1.35	-2.66	1.11e-14	5.10e-13	(B) BRCA_Normal
IGFBP6	12q13.13	6.47	8.60	1.34	1.09	-2.13	1.15e-14	5.28e-13	(B) BRCA_Normal
NDN	15q11.2	7.14	8.89	1.34	0.90	-1.76	1.17e-14	5.36e-13	(B) BRCA_Normal
ITM2B	13q14.2	12.68	13.52	0.68	0.43	-0.84	1.18e-14	5.37e-13	(B) BRCA_Normal
AXIN2	17q24.1	6.35	7.98	1.40	0.82	-1.63	1.18e-14	5.37e-13	(B) BRCA_Normal
DESI2	1q44	11.19	10.17	0.59	0.53	1.03	1.28e-14	5.81e-13	(A) BRCA_Basal
STX6	1q25.3	10.93	10.33	0.55	0.30	0.60	1.28e-14	5.81e-13	(A) BRCA_Basal
ANO1	11q13.3	10.11	11.80	1.38	0.87	-1.69	1.36e-14	6.17e-13	(B) BRCA_Normal
MEMO1	2p22.3	9.48	8.59	0.58	0.46	0.90	1.38e-14	6.21e-13	(A) BRCA_Basal
RASIP1	19q13.33	7.53	8.75	1.23	0.60	-1.22	1.44e-14	6.47e-13	(B) BRCA_Normal
HNMT	2q22.1	8.74	9.80	0.77	0.54	-1.06	1.46e-14	6.53e-13	(B) BRCA_Normal
CAB39L	13q14.2	8.14	9.61	0.99	0.76	-1.47	1.48e-14	6.63e-13	(B) BRCA_Normal
CALML3	10p15.1	4.57	8.49	3.11	2.01	-3.92	1.49e-14	6.63e-13	(B) BRCA_Normal
ADD1	4p16.3	11.69	12.25	0.47	0.28	-0.55	1.49e-14	6.63e-13	(B) BRCA_Normal
RAX	18q21.32	1.15	0.19	1.27	0.37	0.96	1.52e-14	6.75e-13	(A) BRCA_Basal
RGS5	1q23.3	9.86	11.55	1.39	0.87	-1.69	1.52e-14	6.76e-13	(B) BRCA_Normal
ZNF582	19q13.43	4.71	5.78	1.19	0.50	-1.07	1.53e-14	6.77e-13	(B) BRCA_Normal
NEDD4	15q21.3	7.89	8.98	1.01	0.55	-1.09	1.57e-14	6.94e-13	(B) BRCA_Normal
CTSO	4q32.1	9.23	10.22	0.82	0.51	-0.99	1.60e-14	7.05e-13	(B) BRCA_Normal
PI4KB	1q21.3	11.42	10.92	0.51	0.25	0.50	1.63e-14	7.16e-13	(A) BRCA_Basal
DIPK2B	Xp11.3	7.90	9.53	0.89	0.84	-1.63	1.63e-14	7.17e-13	(B) BRCA_Normal
RACGAP1	12q13.12	10.28	8.98	0.65	0.67	1.31	1.65e-14	7.23e-13	(A) BRCA_Basal
CXCL14	5q31.1	8.84	11.68	2.24	1.46	-2.84	1.66e-14	7.26e-13	(B) BRCA_Normal
FANCC	9q22.32	8.69	8.00	0.66	0.34	0.69	1.68e-14	7.34e-13	(A) BRCA_Basal
TBRG1	11q24.2	8.92	9.52	0.54	0.31	-0.60	1.76e-14	7.68e-13	(B) BRCA_Normal
HMGA1	6p21.31	12.06	10.61	0.84	0.75	1.45	1.80e-14	7.80e-13	(A) BRCA_Basal
JADE2	5q31.1	9.03	10.05	0.99	0.51	-1.02	1.80e-14	7.82e-13	(B) BRCA_Normal
PREX1	20q13.13	9.68	11.16	1.07	0.77	-1.48	1.87e-14	8.08e-13	(B) BRCA_Normal
TOM1L2	17p11.2	9.47	10.48	0.61	0.53	-1.01	1.88e-14	8.10e-13	(B) BRCA_Normal
PNPLA4	Xp22.31	7.81	8.98	1.02	0.60	-1.17	1.90e-14	8.19e-13	(B) BRCA_Normal
RILPL2	12q24.31	8.16	9.11	0.73	0.49	-0.95	1.99e-14	8.54e-13	(B) BRCA_Normal
CHEK2	22q12.1	8.67	7.64	0.62	0.54	1.04	2.01e-14	8.60e-13	(A) BRCA_Basal
KIF14	1q32.1	8.79	6.19	0.90	1.31	2.59	2.02e-14	8.62e-13	(A) BRCA_Basal
TP63	3q28	6.19	9.60	2.38	1.78	-3.41	2.03e-14	8.65e-13	(B) BRCA_Normal
RTN4RL1	17p13.3	6.45	8.45	2.10	0.97	-2.00	2.04e-14	8.68e-13	(B) BRCA_Normal
CMBL	5p15.2	7.66	9.38	1.70	0.85	-1.71	2.05e-14	8.72e-13	(B) BRCA_Normal
TNXB	6p21.33-p21.32	7.15	9.99	1.64	1.48	-2.85	2.09e-14	8.86e-13	(B) BRCA_Normal
RIPK2	8q21.3	10.15	9.06	0.73	0.57	1.09	2.12e-14	8.98e-13	(A) BRCA_Basal
KCNMA1	10q22.3	7.09	9.38	1.47	1.20	-2.29	2.14e-14	9.02e-13	(B) BRCA_Normal
