Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
TRIP13	5p15.33	9.61	7.51	0.88	0.93	2.10	8.21e-17	7.64e-15	(A) BRCA_Basal
LPAR6	13q14.2	8.55	9.93	1.03	0.63	-1.38	8.29e-17	7.67e-15	(B) BRCA_Normal
ATOH8	2p11.2	4.61	7.02	1.39	1.10	-2.41	8.31e-17	7.67e-15	(B) BRCA_Normal
CBX7	22q13.1	8.44	10.00	0.91	0.71	-1.56	8.84e-17	8.12e-15	(B) BRCA_Normal
CCL14	17q12	5.46	9.22	2.17	1.71	-3.76	8.97e-17	8.21e-15	(B) BRCA_Normal
WHAMMP3	15q11.2	4.82	6.03	1.07	0.54	-1.21	9.89e-17	9.00e-15	(B) BRCA_Normal
NOTCH4	6p21.32	8.17	9.55	0.81	0.63	-1.38	1.02e-16	9.20e-15	(B) BRCA_Normal
TBC1D9	4q31.21	9.26	11.55	1.08	1.03	-2.28	1.02e-16	9.20e-15	(B) BRCA_Normal
FGF14	13q33.1	5.31	7.33	1.45	0.93	-2.02	1.03e-16	9.25e-15	(B) BRCA_Normal
VPS39	15q15.1	10.20	10.77	0.47	0.26	-0.57	1.05e-16	9.38e-15	(B) BRCA_Normal
EPB41L4A	5q22.1-q22.2	7.48	8.88	1.20	0.63	-1.40	1.07e-16	9.50e-15	(B) BRCA_Normal
ADRB2	5q32	4.39	6.70	1.62	1.06	-2.31	1.08e-16	9.58e-15	(B) BRCA_Normal
MRPL9	1q21.3	10.89	10.05	0.57	0.39	0.85	1.11e-16	9.79e-15	(A) BRCA_Basal
CDH5	16q21	9.14	10.60	0.96	0.67	-1.47	1.11e-16	9.79e-15	(B) BRCA_Normal
STIL	1p33	9.35	7.48	0.80	0.84	1.87	1.16e-16	1.01e-14	(A) BRCA_Basal
NDUFAF4	6q16.1	8.62	7.77	0.70	0.39	0.85	1.24e-16	1.08e-14	(A) BRCA_Basal
IGF1	12q23.2	6.82	9.64	2.02	1.30	-2.82	1.24e-16	1.08e-14	(B) BRCA_Normal
CLDN11	3q26.2	5.99	8.59	1.86	1.20	-2.60	1.31e-16	1.13e-14	(B) BRCA_Normal
CPSF3	2p25.1	10.32	9.54	0.61	0.36	0.78	1.46e-16	1.25e-14	(A) BRCA_Basal
SNX1	15q22.31	10.77	11.49	0.68	0.32	-0.72	1.46e-16	1.25e-14	(B) BRCA_Normal
POLR2D	2q14.3	9.60	9.00	0.48	0.27	0.60	1.49e-16	1.27e-14	(A) BRCA_Basal
