drug_claim_name	nomenclature	concept_id	drug_name	approved	immunotherapy	anti_neoplastic	source_db_name	source_db_version
6-{4-[HYDROXY-(4-NITRO-PHENOXY)-PHOSPHORYL]-BUTYRYLAMINO}-HEXANOIC ACID	Primary Name	drugbank:DB08412	6-{4-[HYDROXY-(4-NITRO-PHENOXY)-PHOSPHORYL]-BUTYRYLAMINO}-HEXANOIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
PNU-142721	Primary Name	drugbank:DB08414	PNU-142721	FALSE	FALSE	FALSE	DrugBank	5.1.12
BENZTROPINE	Primary Name	rxcui:1424	BENZTROPINE	TRUE	FALSE	FALSE	TdgClinicalTrial	Jan-14
AVN-944	Primary Name	drugbank:DB05500	AVN-944	FALSE	FALSE	FALSE	TdgClinicalTrial	Jan-14
MT110	Primary Name	ncit:C77854	SOLITOMAB	FALSE	FALSE	TRUE	TdgClinicalTrial	Jan-14
INO-8875	Primary Name	chembl:CHEMBL3545407	TRABODENOSON	FALSE	FALSE	FALSE	TdgClinicalTrial	Jan-14
LABETALOL	Primary Name	rxcui:6185	LABETALOL	TRUE	FALSE	FALSE	TEND	1-Aug-11
INTERFERON ALPHA-2B	Primary Name	rxcui:5880	INTERFERON ALFA-2B	TRUE	TRUE	TRUE	TdgClinicalTrial	Jan-14
OXYBUPROCAINE	Primary Name	rxcui:18889	BENOXINATE	TRUE	FALSE	FALSE	TEND	1-Aug-11
LY3009120	Primary Name	iuphar.ligand:8943	LY3009120	FALSE	FALSE	FALSE	JAX-CKB	10-Apr-24
4-[4-(2,5-DIOXO-PYRROLIDIN-1-YL)-PHENYLAMINO]-4-HYDROXY-BUTYRIC ACID	Primary Name	drugbank:DB08378	4-[4-(2,5-DIOXO-PYRROLIDIN-1-YL)-PHENYLAMINO]-4-HYDROXY-BUTYRIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
4,5-bis(4-methoxyphenyl)-2-thiophen-2-yl-1H-imidazole	Primary Name	drugbank:DB08383	4,5-BIS(4-METHOXYPHENYL)-2-THIOPHEN-2-YL-1H-IMIDAZOLE	FALSE	FALSE	FALSE	DrugBank	5.1.12
4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid	Primary Name	drugbank:DB08385	4-(QUINOLIN-3-YLMETHYL)PIPERIDINE-1-CARBOXYLIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
Mardepodect	Primary Name	ncit:C170150	MARDEPODECT	FALSE	FALSE	FALSE	DrugBank	5.1.12
BLU-667	Primary Name	rxcui:2394936	PRALSETINIB	TRUE	FALSE	TRUE	OncoKB	23-Jul-20
AGOMELATINE	Primary Name	ncit:C72684	AGOMELATINE	TRUE	FALSE	FALSE	TdgClinicalTrial	Jan-14
2-[(5,6-DIPHENYLFURO[2,3-D]PYRIMIDIN-4-YL)AMINO]ETHANOL	Primary Name	drugbank:DB08393	2-[(5,6-DIPHENYLFURO[2,3-D]PYRIMIDIN-4-YL)AMINO]ETHANOL	FALSE	FALSE	FALSE	DrugBank	5.1.12
4-{[(Z)-(5-oxo-2-phenyl-1,3-oxazol-4(5H)-ylidene)methyl]amino}butanoic acid	Primary Name	drugbank:DB08396	4-{[(Z)-(5-OXO-2-PHENYL-1,3-OXAZOL-4(5H)-YLIDENE)METHYL]AMINO}BUTANOIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
